name_7006#0,"""斯塔基|スタッギィ"""
msn_011350_020_0001#0,"""歡迎來到中央！！"""
msn_011350_020_0002#0,"""就請努力戰鬥、勝利，然後賺錢，<br>獲得比現在更好的裝備吧！"""
msn_011350_020_0101#0,"""怎麽了怎麽了？"""
msn_011350_020_0102#0,"""什麽？想知道有用的戰鬥知識？"""
msn_011350_020_0103#0,"""我就是在等這個時候！"""
msn_011350_020_0104#0,"""那你聽好了……<br>武器啊……是可以“合體”的！"""
msn_011350_020_0105#0,"""它就叫做“複合武器”哦！<br>你不去試試看嗎？"""
msn_011350_020_0106#0,"""在道具實驗室那裡可以製作複合武器。"""
msn_011350_020_0107#0,"""同種類的武器，<br>可以在道具實驗室那組合起來。"""
msn_011350_020_0108#0,"""噢，武器要合體的話，<br>也不能忘了作為觸媒的“礦石”！"""
msn_011350_020_0109#0,"""哼，這回就當作特例！<br>我把我的分給你一些，趕緊去試試吧！"""
msn_011350_020_0201#0,"""獲取了20個光子石英、50000<pict reb_meseta>美賽達。"""
msn_011350_020_0301#0,"""獲取了2個光子石英、200<pict reb_meseta>美賽達。"""
msn_011350_020_0401#0,"""如何？<br>製作複合武器有什麽感想嗎？"""
msn_011350_020_0402#0,"""雖然不知道這究竟是什麽原理，<br>但是合體總歸很浪漫嘛！"""
msn_011350_020_0403#0,"""而且武器合體之後，攻擊方式也會變得很靈活！<br>真的想想都興奮！"""
msn_011350_020_0404#0,"""什麽都試試看，<br>做個帥氣的武器出來吧！"""
