msc_012240_0010#0,"""啊……找到了。"""
msc_012240_0020#0,"""抱歉，我一聲沒吭就離了席。我就是想呼吸下外面的空氣……"""
msc_012240_0040#0,"""這裡，這哈爾法……還真是個嚴酷的地方啊。<br>真是個……既殘酷，又冷酷無情的地方……"""
msc_012240_0050#0,"""瑪儂……？"""
msc_012240_0060#0,"""哪怕僅僅只是為了活下去……<br>也有那麼多的ARKS，在與DOLLS交戰中相繼死去。"""
msc_012240_0070#0,"""這是“悼念之歌”……你知道這首歌嗎？"""
msc_012240_0080#0,"""娜德蕾芙……"""
msc_012240_0090#0,"""怎麼了？"""
msc_012240_0100#0,"""我剛才……在看戰鬥的記錄，<br>然後等我回過神來，就不知不覺來到這裡了……"""
msc_012240_0110#0,"""原來黎泰姆地區……從古至今就一直戰火不絕……<br>還犧牲了那麼多的人……"""
msc_012240_0120#0,"""………"""
msc_012240_0130#0,"""而這次要是又打起仗來了……肯定又會有人犧牲。<br>我一想到這些，就……"""
msc_012240_0140#0,"""你又是為什麼會來這裡？"""
msc_012240_0150#0,"""……每逢大戰我都必定會來。<br>為了悼懷那些死去的夥伴……歌唱這首悼念之歌。"""
msc_012240_0160#0,"""………"""
msc_012240_0170#0,"""然後，我就會向自己起誓……起誓不會再讓犧牲出現。"""
msc_012240_0180#0,"""然而……這便是現實。"""
msc_012240_0190#0,"""就算我自己一個人變強……也沒辦法保護所有人。"""
msc_012240_0200#0,"""要是我有「歌聲」之力的話……<br>就不用失去這麼多的夥伴了。"""
msc_012240_0210#0,"""都怪我沒有力量……"""
msc_012240_0220#0,"""不是這樣！"""
msc_012240_0230#0,"""該怪的不是你……<br>真正該怪的，真正應該怪的是……"""
msc_012240_0240#0,"""抱歉，我突然這麼大聲……把剛才的話忘了吧。"""
msc_012240_0250#0,"""歌聲的……力量……"""
msc_012240_0260#0,"""這是……"""
msc_012240_0270#0,"""原來是這樣！……我懂了！"""
msc_012240_0280#0,"""在我剛才查到的數據裡，過去的首領們所擁有的……<br>你的力量和他們不一樣……沒錯！你擁有的是別的力量！"""
msc_012240_0290#0,"""……？"""
msc_012240_0300#0,"""你真正的力量是……！"""
