msc_012250_0010#0,"""偵測到少量DOLLS。正在從穹頂方向<br>前往你們的位置。"""
msc_012250_0020#0,"""擺好迎擊態勢！"""
msc_012250_5010#0,"""唔哦哦哦哦！"""
msc_012250_5020#0,"""哈！！都給我上！"""
msc_012250_5030#0,"""哈！"""
msc_012250_5040#0,"""喝！"""
msc_012250_0030#0,"""娜德蕾芙，你到底是想幹什麼？"""
msc_012250_0040#0,"""明明前些天的傷還沒治好啊……"""
msc_012250_5050#0,"""哈！"""
msc_012250_0050#0,"""娜德蕾芙！快舉起武器！"""
msc_012250_0060#0,"""歌聲……！？"""
msc_012250_0070#0,"""怎麼回事……！？"""
msc_012250_0080#0,"""快看！"""
msc_012250_0090#0,"""DOLLS的行動，變遲鈍了……？"""
msc_012250_0100#0,"""這莫非……是歌聲之力？"""
msc_012250_0110#0,"""沒錯，她會隨著“歌聲”創造出特殊的光子場。<br>這利用光子性質的能力，是黎泰姆的領導者所獨有的。"""
msc_012250_0120#0,"""簡單來說，她的“歌聲”並不是<br>用來提高ARKS能力的，而是用來削弱DOLLS的。"""
msc_012250_0130#0,"""當她知道自己第一次唱出的“歌聲”對自己的同伴沒有效果後，<br>就再也沒有在戰場上唱過歌了……"""
msc_012250_0140#0,"""正因如此，她才一直都沒有察覺到自己的歌聲之力。"""
msc_012250_0150#0,"""……好厲害。DOLLS的動作越來越遲鈍了！<br>看來這下可以把它們一網打盡了。"""
name01#0,"""黎泰姆偵查ARKS"""
