ssc_012010_5010#0,"""都這個時候了。"""
ssc_012010_0010#0,"""你們來了啊。"""
ssc_012010_0020#0,"""托你們的福，演奏會都已經準備妥當了。"""
ssc_012010_0030#0,"""接下來，只需要等待演出開始就好。"""
ssc_012010_0040#0,"""居然有這麼多人！"""
ssc_012010_0050#0,"""你們也來了啊。"""
ssc_012010_0060#0,"""那當然啦。<br>畢竟能聽到娜德蕾芙的歌聲嘛。"""
ssc_012010_0070#0,"""而且這次還會有樂團一起演奏呢。<br>真是期待。"""
ssc_012010_0080#0,"""今天大家都會盡全力演奏的。<br>希望你們聽得開心。"""
ssc_012010_0090#0,"""……只不過，還是有人<br>在這附近目擊到了DOLLS的出現。"""
ssc_012010_0100#0,"""若是有什麼萬一，能不能拜託你們一起來保護會場？"""
ssc_012010_0110#0,"""恩，我明白啦！"""
ssc_012010_0120#0,"""那差不多也到時候了。"""
ssc_012010_5020#0,"""咻，娜德蕾芙！"""
ssc_012010_0130#0,"""感謝各位今天聚集在這裡。"""
ssc_012010_0140#0,"""這場演奏會的宗旨<br>就同我先前告知過大家的一樣。"""
ssc_012010_0150#0,"""大家肯定也知道，這黎泰姆<br>曾經是一片繁盛著音樂的土地。"""
ssc_012010_0160#0,"""而在今後的日子裡，<br>我希望能將音樂的文化復興起來。"""
ssc_012010_0170#0,"""今天的這場演奏會呢，就是我們邁出的第一步了。<br>我想把它當成一次，讓復興之火熊熊燃燒起來的好機會。"""
ssc_012010_0180#0,"""好了，我就不多說這些死板無趣的話了。<br>大家就放輕鬆一點，好好享受一下吧。"""
ssc_012010_5030#0,"""哦哦－－，好耶－－"""
ssc_012010_5040#0,"""怎麼了啊這是!?"""
ssc_012010_0190#0,"""是游沙蟒……！？"""
ssc_012010_0200#0,"""但是和之前交過手的那隻，好像不一樣……！？"""
ssc_012010_0210#0,"""是別的品種。<br>它的攻擊性能可能會有區別。小心些。"""
ssc_012010_0220#0,"""哈迪，那傢伙就交給我們！<br>拜託你們去保護大家的安全。"""
ssc_012010_0230#0,"""明白！"""
