name_7199#0,"""格伊登|グイーデン"""
msn_005013_0001#0,"""恩，看來有在好好努力呢。"""
msn_005013_0002#0,"""但是，仍然有很多需要學習的東西。<br>繼續和大家搭話比較好。"""
msn_005013_0101#0,"""看來你已經成為大家的力量了。"""
msn_005013_0102#0,"""差不多該學一下各個職業了吧。"""
msn_005013_0103#0,"""如果可以自由自在的使用各個職業的話，<br>即使對手是強大的DOLLS也能在戰鬥中占據優勢地位。"""
msn_005013_0104#0,"""在中央都市有各個職業的教導官。<br>我已經告訴大家把力量傳授給你。"""
msn_005013_0105#0,"""就在中央都市的東南邊，<br>每個職業都好好學習一下吧。"""
msn_005013_0201#0,"""好像花了不少力氣呢。"""
msn_005013_0202#0,"""那種舉止……一看就知道。<br>可以說是一個獨當一面的ARKS了吧。"""
msn_005013_0203#0,"""以後……如果有什麽不明白的地方，<br>不妨回想一下之前學過的東西。"""
msn_005013_0204#0,"""期待你今後的活躍表現。"""
