msc_011220_0010#0,"""謝謝你們願意過來。"""
msc_011220_0020#0,"""……其實，我一直對爸爸的教導很不滿。"""
msc_011220_0030#0,"""他總是說“你只是個半吊子”<br>“我不認可你是正式的ARKS”什麼的。"""
msc_011220_0040#0,"""可我明明也是爸爸他的女兒啊，<br>所以應該是能成為比任何人都要強大的ARKS的。"""
msc_011220_0050#0,"""我一直很不明白，<br>明明如此，為什麼他卻不肯讓我和他一起戰鬥。"""
msc_011220_0060#0,"""……而在剛才的戰鬥中，我終於明白了這理由。"""
msc_011220_0070#0,"""被布魯達問起戰鬥的理由，我閉上雙眼的時候，<br>在我眼前浮現的面龐，是艾亞利奧村裡的大家。"""
msc_011220_0080#0,"""以前的我只是憧憬著ARKS，<br>從來沒有想過是為什麽而戰。"""
msc_011220_0090#0,"""我想，爸爸一定是看穿了這一點。"""
msc_011220_0100#0,"""雖然失去他們才發現這一點，早就為時已晚了。"""
msc_011220_0110#0,"""而且過去的我，<br>也完全對戰鬥沒有任何概念。"""
msc_011220_0120#0,"""在怒拳狼身體發出紅光的時候，<br>我的脚在顫抖……完全動不了……"""
msc_011220_0130#0,"""然後……我感到了害怕。"""
msc_011220_0140#0,"""……並不是害怕戰鬥……"""
msc_011220_0150#0,"""而是害怕，我要是就這樣和你們兩個在一起，<br>會不會給你們添麻煩。"""
msc_011220_0160#0,"""……所以……我……"""
msc_011220_0170#0,"""……愛娜。"""
msc_011220_0180#0,"""你忘記我在克羅福德面前做過的約定了嗎？"""
msc_011220_0190#0,"""欸？"""
msc_011220_0200#0,"""當時我說，我會幫忙。<br>那話我可是對你說的哦？"""
msc_011220_0210#0,"""……瑪儂。"""
msc_011220_0220#0,"""我們一起，去打倒黑暗法爾斯吧！"""
msc_011220_0230#0,"""瑪儂，謝謝你。"""
msc_011220_0240#0,"""我，想要變強。<br>強到像你們一樣，能和DOLLS戰鬥。"""
msc_011220_0250#0,"""因此，我希望你們能借我一臂之力。<br>希望你們……能與我一起戰鬥。"""
msc_011220_0260#0,"""都說了，那個……其實我從一開始就是這個意思嘛。"""
msc_011220_0270#0,"""謝謝……<br>……謝謝你們。"""
