msc_011330_0010#0,"""……呼。"""
msc_011330_0020#0,"""這場仗打得不錯，愛娜。"""
msc_011330_0030#0,"""謝謝你，瑪儂。"""
msc_011330_0040#0,"""通訊恢復了。<br>偵測到神巧巨人已被擊敗。"""
msc_011330_0050#0,"""好厲害啊！<br>竟然只靠三個人就打倒了。"""
msc_011330_0060#0,"""剛才那個是？"""
msc_011330_0070#0,"""正在確認中。<br>……這是!?"""
msc_011330_0080#0,"""在雷佐爾森林巡邏的<br>布魯達隊，信號消失了……"""
msc_011330_0090#0,"""欸!?"""
msc_011330_0110#0,"""我確認一下周邊的情況！"""
msc_011330_0120#0,"""蘭，去通知ARKS全體成員進行緊急集合。"""
msc_011330_0130#0,"""明白了。"""
msc_011330_0140#0,"""這是來自克羅福德的緊急召集。<br>請全員返回中央都市。"""
msc_011330_0150#0,"""知，知道了。"""
