msc_012020_0010#0,"""感謝各位都能過來。<br>閒話不提，我想請大家看看這個。"""
msc_012020_0020#0,"""多虧了在先前的戰鬥中，我們從艾亞利奧屠滅龍的身上得到的豐富素材，<br>中央加農炮的開發十分順利。"""
msc_012020_0030#0,"""可即便如此，收集到的素材也還是不足。<br>因此，我有個任務想要拜託你們。"""
msc_012020_0040#0,"""這是黎泰姆地區……<br>它位於我們這裡的東方。"""
msc_012020_0050#0,"""在這片廣闊沙漠的地底下，蘊藏著豐富的資源。<br>我希望可以得到來自黎泰姆地區的幫助。"""
msc_012020_0060#0,"""然而，他們與DOLLS間的戰鬥仍在繼續，<br>那裡的狀況並沒有好到能向其他地區施以援手。"""
msc_012020_0070#0,"""是不是我們過去，<br>幫他們把DOLLS都打倒就好了？"""
msc_012020_0080#0,"""說得沒錯。<br>首先，我希望你們能以先遣隊的身份前往那邊。"""
msc_012020_0090#0,"""到實地去了解一下具體發生了什麼，<br>並幫助他們解決。"""
msc_012020_0100#0,"""之後，再去與他們建立起合作關係。"""
msc_012020_0110#0,"""我明白了！<br>就交給我們吧！"""
msc_012020_0120#0,"""我已經跟黎泰姆地區聯絡過了。<br>那就拜託各位了。"""
