msc_012170_0010#0,"""你們只用了這麼短時間<br>就把那麼多DOLLS都給幹掉了……？！"""
msc_012170_0020#0,"""我懷疑了你們的力量，<br>剛才還對你們失了禮數，我對此都表示衷心的歉意。"""
msc_012170_0030#0,"""穆、穆赫辛！<br>你在說什麼呢！？"""
msc_012170_0040#0,"""加利勒。<br>他們不是都出色地展現出了自己的武勇嘛？"""
msc_012170_0050#0,"""唔唔……<br>倒、倒也確實……"""
msc_012170_0060#0,"""我也不是不承認這份力量……"""
msc_012170_0070#0,"""所以老夫我從一開始不就說過了嘛？<br>這幾位不是平平之輩。"""
msc_012170_0080#0,"""既然如此，我們也來協助你們<br>對抗黎泰姆游沙蟒吧！"""
msc_012170_0090#0,"""……恩，那就拜託了。"""
msc_012170_0100#0,"""好的。<br>……不過比起這個，我還有件事情想問。"""
msc_012170_0110#0,"""是什麼事？"""
msc_012170_0120#0,"""我看黎泰姆地區<br>到處都有著像是揚聲器一樣的東西……"""
msc_012170_0130#0,"""那些是什麼？"""
msc_012170_0140#0,"""那些……<br>是為了能讓歌聲響起而設的裝置。"""
msc_012170_0150#0,"""……歌聲？"""
msc_012170_0160#0,"""身為黎泰姆地區首領的娜德蕾芙他們一家<br>代代都擁有著名為“歌聲”的特殊能力。"""
msc_012170_0170#0,"""在戰場上，他們用“戰舞之歌”強化了我們ARKS，<br>讓我們得以靠著絲毫不遜色於DOLLS的力量，去與它們作戰。"""
msc_012170_0190#0,"""既然有這麼方便的東西，<br>你們為什麼沒在用呢？"""
msc_012170_0200#0,"""那是因為……"""
msc_012170_0210#0,"""既然你們是要與我等並肩作戰之人，那就有知曉的權力。<br>我們去“祭壇”那邊說吧。能不能跟我走一趟？"""
msc_012170_0220#0,"""歌聲的……力量……"""
