msc_012070_0010#0,"""等等，別動手。我不是敵人。"""
msc_012070_0020#0,"""老夫我叫哈迪。是所屬於“黎泰姆都市”的ARKS。"""
msc_012070_0030#0,"""黎泰姆都市，<br>是黎泰姆地區的城鎮名字吧？"""
msc_012070_0040#0,"""正是……"""
msc_012070_0050#0,"""我剛才還在猶豫要不要幫你們一把，<br>可你們作戰時的身手實在是太嫻熟了。"""
msc_012070_0060#0,"""一不留神我就看入迷了。還請見諒。"""
msc_012070_0070#0,"""哇你聽到了沒？聽到了沒？<br>這是不是說明我們也已經變得很強了？"""
msc_012070_0080#0,"""我們來到這裡，<br>就是要去你所說的黎泰姆都市。"""
msc_012070_0090#0,"""能告訴我們路要怎麼走嗎？"""
msc_012070_0100#0,"""從這裡一直往南，就能走到綠洲。<br>而在那前方，就是黎泰姆都市了。"""
msc_012070_0110#0,"""我明白了。非常感謝。"""
msc_012070_0120#0,"""雖然我也很想帶帶路，但我還有偵察任務在身。"""
msc_012070_0140#0,"""我想我們還有機會再見的……那就告辭了。"""
