name_7024#0,"""格伊登|グイーデン"""
msn_005012_0001#0,"""怎麽了？是去傳送信標哦。<br>向著向導標記的方向前進。"""
msn_005012_0101#0,"""好，返回到任務中了。"""
msn_005012_0102#0,"""傳送信標散佈在各地。<br>如果找到的話，每次都可以使用。"""
msn_005012_0103#0,"""……接下來讓我們<br>談談我們的敵人，“DOLLS”吧。"""
msn_005012_0104#0,"""DOLLS是充滿謎團的存在。"""
msn_005012_0105#0,"""從哪裡來，為什麽要攻擊我們，<br>全部都搞不清楚。甚至連是不是生物都不知道。"""
msn_005012_0106#0,"""ARKS長年以來都在和這些未知的敵人戰鬥。"""
msn_005012_0107#0,"""從現在開始你也要同“DOLLS”作戰了，<br>為此，希望你能作為一名ARKS繼續努力。"""
msn_005012_0108#0,"""城裡有許多熟練的ARKS，<br>如果向他們學習戰鬥技術就好了。我可以去幫你說一下這個事。"""
msn_005012_0109#0,"""此外，優秀的研究員和職員<br>應該也會給你建議。"""
msn_005012_0110#0,"""積極地同他們交談吧。"""
msn_005012_0201#0,"""恩，順利地提升了力量呢。"""
msn_005012_0202#0,"""但是，仍然有很多需要學習的東西。<br>繼續和大家搭話比較好。"""
