msc_011060_0010#0,"""……稍微等一下。"""
msc_011060_0020#0,"""終於完成了。"""
msc_011060_0030#0,"""……我，我也完成了……"""
msc_011060_0040#0,"""你們做得都很好，放輕鬆一點。"""
msc_011060_0050#0,"""你也接受了同樣的訓練吧？"""
msc_011060_0060#0,"""三個人的身體能力，<br>以及應對敵人的技能，都沒有問題。"""
msc_011060_0070#0,"""而愛娜的得分，與“渡星者”的兩人相比<br>也是毫不遜色。"""
msc_011060_0080#0,"""欸？真的嗎？<br>……欸嘿嘿。"""
msc_011060_0090#0,"""看來能成為一隻不錯的小隊呢。"""
msc_011060_0100#0,"""看來，你們馬上就能活躍在最前線了吧。<br>我也會這樣告訴克羅福德的。"""
msc_011060_0110#0,"""就讓我們一起和DOLLS戰鬥吧。"""
msc_011060_0120#0,"""最後要說一點，<br>這樣的場所分佈在哈爾法的各地。"""
msc_011060_0130#0,"""而且各自的構造也不同，<br>可以學會獨自的戰鬥技能。"""
msc_011060_0140#0,"""你們就去積極地踏訪這些繭，努力提高技巧吧。"""
