msc_011410_0010#0,"""都已經過了很長時間了啊。<br>可就算這樣也沒找到……"""
msc_011410_0020#0,"""之前從外面沒看出來，<br>真沒想到來到森林裡面，會變成這樣。"""
msc_011410_0060#0,"""總覺得，我們現在的情況……有點糟糕？"""
msc_011410_0070#0,"""我想我們也是時候<br>考慮一下撤退的事情了。"""
msc_011410_0080#0,"""怎麼可以這麼做！<br>那布魯達會怎麽樣？"""
msc_011410_0090#0,"""……"""
msc_011410_0100#0,"""正如瑪儂所說。"""
msc_011410_0110#0,"""克羅福德!?"""
msc_011410_0120#0,"""DOLLS的出現規模超出了預期。<br>這樣下去，你們早晚是會被擊垮的。"""
msc_011410_0130#0,"""你們也要把自己的安全放在第一位。"""
msc_011410_0140#0,"""布魯達是不會那麽容易就被打敗的。"""
msc_011410_0150#0,"""要是遇到危險的話就逃……"""
msc_011410_0160#0,"""……克羅福德？<br>克羅福德!?"""
msc_011410_0170#0,"""是干擾。<br>而且，是特別強大的那種。"""
msc_011410_0180#0,"""……！"""
msc_011410_0190#0,"""什麼!?"""
msc_011410_0200#0,"""是艾亞利奧屠滅龍！"""
msc_011410_0210#0,"""要攻過來了！"""
msc_011410_0220#0,"""布魯達！"""
