Begin#0,"""開始5150"""
Success#0,"""成功5150"""
Failure#0,"""失敗5150"""
Dead#0,"""自分死亡5150"""
BuddyDead#0,"""相手死亡5150"""
Evolution#0,"""発展5150"""
Begin#1,"""/ci1 2 방치할 수도 없으니까요…<br>저도 돕겠어요."""
Success#1,"""/ci1 2 무사해서 다행이예요…<br>그럼, 저희는 이 쯤에서."""
Failure#1,"""열세네요… 여기선 퇴각할 수 밖에 없어요.<br>퇴로를 확보하겠습니다."""
Dead#1,"""이, 이럴수가…<br>너무 강해…!"""
BuddyDead#1,"""/ci1 2 제네, 괜찮아!?<br>금방 끝낼테니, 물러나있어!"""
Begin#2,"""/ci1 2 방치할 수도 없으니까요…<br>저도 돕겠어요."""
Success#2,"""/ci1 2 무사해서 다행이예요…<br>그럼, 저희는 이 쯤에서."""
Failure#2,"""열세네요…여기선 물러날 수 밖에 없어요.<br>퇴로를 확보하겠습니다."""
Dead#2,"""이, 이럴수가…<br>너무 강해…!"""
BuddyDead#2,"""/ci1 2 제네, 괜찮아!?<br>금방 끝낼테니, 물러나있어!"""
