name_7211#0,"""섄디"""
ssn_019120_002_0010#0,"""와주셔서 감사합니다.<br>다시 한 번 자기 소개를 하겠습니다."""
ssn_019120_002_0020#0,"""저는 섄디. 할파에서 발생하는<br>다양한 특이현상을 연구하고 있습니다."""
ssn_019120_002_0030#0,"""당신을 부른 건 지금 일어나고 있는<br>현상의 조사를 도와주셨으면 해서요."""
ssn_019120_002_0040#0,"""실은 최근에<br>각지에서 에너미의 수가 증가하고 있는 것 같습니다."""
ssn_019120_002_0050#0,"""큰 피해 등 문제가 될만한 보고는 없지만,<br>나중에 상황이 변하지 않는다고 확신할 수도 없습니다."""
ssn_019120_002_0060#0,"""그래서 에너미와의 교전 데이터를 모아,<br>상황 분석을 진행하고 있습니다."""
ssn_019120_002_0070#0,"""특히 관련성이 지적되고 있는<br>이 시기 특유의 심볼이 붙은 에너미를 주목하고 있습니다."""
ssn_019120_002_0080#0,"""당신께도 이 에너미 데이터의 수집을<br>부탁드릴 수 없을까요?"""
ssn_019120_002_0090#0,"""협력자에게는 특별한 보상도 준비되어 있습니다."""
ssn_019120_002_0100#0,"""그럼 잘 부탁드립니다."""
ssn_019120_002_0110#0,"""와주셔서 감사합니다."""
ssn_019120_002_0120#0,"""이번에도 당신에게 조사 협력을<br>부탁할 수 있으면 좋겠다 하는 생각을 하고 있습니다만…"""
ssn_019120_002_0130#0,"""실은 최근에<br>각지에서 에너미의 수가 증가하고 있는 것 같습니다."""
ssn_019120_002_0140#0,"""큰 피해 등 문제가 될만한 보고는 없지만,<br>나중에 상황이 변하지 않는다고 확신할 수도 없습니다."""
ssn_019120_002_0150#0,"""그래서 에너미와의 교전 데이터를 모아,<br>상황 분석을 진행하고 있습니다."""
ssn_019120_002_0160#0,"""특히 관련성이 지적되고 있는<br>이 시기 특유의 심볼이 붙은 에너미를 주목하고 있습니다."""
ssn_019120_002_0170#0,"""당신께도 이 에너미 데이터의 수집을<br>부탁드릴 수 없을까요?"""
ssn_019120_002_0180#0,"""협력자에게는 특별한 보상도 준비되어 있습니다."""
ssn_019120_002_0190#0,"""그럼 잘 부탁드립니다."""
ssn_019120_002_1010#0,"""어서 오세요.<br>덕분에 많은 데이터를 얻을 수 있었습니다."""
ssn_019120_002_1020#0,"""그 데이터에 의하면, 에너미의 활동은<br>확실히 활발해지고 있는 것 같습니다."""
ssn_019120_002_1030#0,"""금색이나 백은의 에너미가 다른 에너미에게<br>어떠한 영향을 주고 있을 가능성이 있습니다."""
ssn_019120_002_1040#0,"""이것이 앞으로 어떻게 변화해 나갈지는<br>좀 더 알아봐야 할 것 같습니다."""
ssn_019120_002_1050#0,"""이번 사건은 다행히도<br>임박한 위험은 없을 것 같습니다."""
ssn_019120_002_1060#0,"""하지만 아무리 작은 변화라도<br>꾸준히 조사를 쌓아가는 것이 중요합니다."""
ssn_019120_002_1070#0,"""<%me> 씨.<br>협력해주셔서 감사합니다."""
ssn_019120_002_1080#0,"""보상을 드릴테니<br>필요한 게 있으시면 말씀해 주세요."""
ssn_019120_002_1090#0,"""그럼 또 무슨일이 생겼을 때<br>잘 부탁드립니다."""
ssn_019120_002_5010#0,"""에너미의 활동은 모르는 부분이 많아요."""
ssn_019120_002_5020#0,"""무궤도로 보이지만 자세히 들여다보면<br>전체적으론 규칙적인 움직임을 하고 있기도 합니다."""
npc_menu_0010#0,"""시즈널 포인트와 교환하기（$(0)까지）"""
npc_menu_0020#0,"""크리스마스'22의 시즈널 포인트와 교환하기（$(0)까지）"""
npc_menu_0030#0,"""시즈널 이벤트에 관하여"""
npc_menu_0040#0,"""메뉴 닫기"""
npc_menu_1010#0,"""\""시즈널 포인트\""에 관하여"""
npc_menu_1020#0,"""\""랍피 집회장\""에 관하여"""
npc_menu_1030#0,"""\""시즌 에너미\""에 관하여"""
npc_menu_1040#0,"""\""시즈널 리전 마그\""에 관하여"""
npc_menu_1050#0,"""\""미스치프 심볼\""에 관하여"""
npc_menu_2000#0,"""묻고 싶은 것이 없다"""
