name_7224#0,"""시트레"""
name_7234#0,"""패피 랍피"""
ssn_019110_002_0010#0,"""와 줘서 고마워.<br>다시 한 번 자기소개할게."""
ssn_019110_002_0020#0,"""내 이름은 시트레. 센트럴 시티 보급대 소속으로,<br>물자 관리나 전투 지원 같은 걸 맡고 있어."""
ssn_019110_002_0030#0,"""그래서 말인데…"""
ssn_019110_002_0040#0,"""요즘 랍피 목격 정보가 늘고 있거든…"""
ssn_019110_002_0050#0,"""우리 보급대의 랍피 광 상사가,<br>\""자기도 찾으러 가겠다!\""고 난리라서 말이야."""
ssn_019110_002_0060#0,"""일하는 중에도 자꾸 딴생각을 해서,<br>보급대 계획에도 영향이 생기고 있어."""
ssn_019110_002_0070#0,"""그래서 부탁인데,<br>랍피 데이터 수집을 좀 같이해 줄 수 있을까?"""
ssn_019110_002_0080#0,"""그 데이터를 보여 주면,<br>조금은 일에 집중해 줄 것 같거든."""
ssn_019110_002_0090#0,"""보답은 제대로 할 테니까!<br>그럼 잘 부탁해!"""
ssn_019110_002_0110#0,"""<%me>!<br>와 줘서 고마워."""
ssn_019110_002_0120#0,"""바로 본론인데,<br>요즘 랍피 목격 정보가 늘고 있는 건 알고 있지?"""
ssn_019110_002_0130#0,"""그래서… 우리 보급대의 랍피 광 상사가,<br>\""자기도 찾으러 가겠다!\""고 난리라서 말이야."""
ssn_019110_002_0140#0,"""일하는 중에도 자꾸 딴생각을 해서,<br>보급대 계획에도 영향이 생기고 있어."""
ssn_019110_002_0150#0,"""그래서 부탁인데,<br>랍피 데이터 수집을 좀 같이해 줄 수 있을까?"""
ssn_019110_002_0160#0,"""그 데이터를 보여 주면,<br>조금은 일에 집중해 줄 것 같거든."""
ssn_019110_002_0170#0,"""보답은 제대로 할 테니까!<br>그럼 잘 부탁해!"""
ssn_019110_002_0210#0,"""<%me>!<br>와 줘서 고마워."""
ssn_019110_002_0220#0,"""바로 본론인데,<br>요즘 랍피 목격 정보가 늘고 있는 건 알고 있지?"""
ssn_019110_002_0230#0,"""그래서… 너도 잘 아는 그 랍피 광 상사가,<br>\""자기도 찾으러 가겠다!\""고 난리라서 말이야."""
ssn_019110_002_0240#0,"""일하는 중에도 자꾸 딴생각을 해서,<br>보급대 계획에도 영향이 생기고 있어."""
ssn_019110_002_0250#0,"""그래서 부탁인데,<br>랍피 데이터 수집을 좀 같이해 줄 수 있을까?"""
ssn_019110_002_0260#0,"""그 데이터를 보여 주면,<br>조금은 일에 집중해 줄 것 같거든."""
ssn_019110_002_0270#0,"""보답은 제대로 할 테니까!<br>그럼 잘 부탁해!"""
ssn_019110_002_1010#0,"""돌아왔네!<br>고마워. 덕분에 살았어."""
ssn_019110_002_1020#0,"""이걸 보여 주면, 상사도 좀 제대로 일하고…"""
ssn_019110_002_1030#0,"""으음! 이건 정말 훌륭해!<br>정말 대단한 데이터야, 자네!"""
ssn_019110_002_1040#0,"""우와, 나왔다."""
ssn_019110_002_1050#0,"""아아, 이 아이도 참 귀엽구나."""
ssn_019110_002_1060#0,"""아직 데이터는 안 보냈는데요.<br>어떻게 눈치채신 거죠?"""
ssn_019110_002_1070#0,"""자네 데이터 영역에서,<br>\""랍피\""라는 글자가 보였거든!"""
ssn_019110_002_1080#0,"""…오늘 작업은 끝난 거예요?"""
ssn_019110_002_1090#0,"""…안 끝났어요."""
ssn_019110_002_1100#0,"""하아…"""
ssn_019110_002_1110#0,"""그래서, 어때요?<br>만족하셨나요?"""
ssn_019110_002_1120#0,"""응응!<br>더더욱 내 눈으로 직접 보고 싶어졌어!"""
ssn_019110_002_1130#0,"""………"""
ssn_019110_002_1140#0,"""나중에 천천히 이야기해 보죠."""
ssn_019110_002_1150#0,"""아아, 잠깐!<br>내 랍피 사랑 얘기를 더…"""
ssn_019110_002_1160#0,"""…후우."""
ssn_019110_002_1170#0,"""으음, 오히려 역효과였으려나.<br>늘 이런 식이지만, 이상한 상사라서 미안해."""
ssn_019110_002_1180#0,"""그것만 아니면,<br>정말 유능한 사람인데…"""
ssn_019110_002_1190#0,"""…뭐, 아무튼,<br>패피 랍피도 만족한 것 같고."""
ssn_019110_002_1200#0,"""이번엔 정말 고마워.<br>보답은 제대로 할게."""
ssn_019110_002_1210#0,"""그럼 또 무슨 일 생기면,<br>잘 부탁해!"""
ssn_019110_002_5010#0,"""보급은 전장의 생명선!"""
ssn_019110_002_5020#0,"""…하지만 그 생명선이 위협받을 때도 있어.<br>랍피 때문에…"""
npc_menu_0010#0,"""시즈널 포인트와 교환하기 ($(0)까지)"""
npc_menu_0020#0,"""시즈널 이벤트에 관하여"""
npc_menu_0030#0,"""메뉴 닫기"""
npc_menu_1010#0,"""\""시즈널 포인트\""에 관하여"""
npc_menu_1020#0,"""\""랍피 집회장\""에 관하여"""
npc_menu_1030#0,"""\""시즌 에너미\""에 관하여"""
npc_menu_1040#0,"""\""시즈널 리전 마그\""에 관하여"""
npc_menu_1050#0,"""\""미스치프 심볼\""에 관하여"""
npc_menu_2000#0,"""묻고 싶은 건 없다"""
