name_7245#0,"""셰미"""
name_7912#0,"""로지"""
ssn_019130_002_0010#0,"""저, 저기… 와 주셔서 감사합니다.<br>다시 한번 자기소개하겠습니다."""
ssn_019130_002_0020#0,"""저는 셰미.<br>기술개발부에서 장비 개발을 담당하고 있어요…."""
ssn_019130_002_0030#0,"""그래서, 상담드릴 게 있는데…."""
ssn_019130_002_0040#0,"""제가 장비를 연구할 때,<br>도와주시는 분이 한 분… 계시거든요."""
ssn_019130_002_0050#0,"""로지 씨라고 하는,<br>베테랑 아크스인데…."""
ssn_019130_002_0060#0,"""그분이…<br>전투단 임무에서 빠지게 돼서요."""
ssn_019130_002_0070#0,"""다른 사람 중에 도와줄 분이 없을까<br>얘기하다가, 당신 이름이 나왔어요…."""
ssn_019130_002_0080#0,"""여어, 셰미.<br>저 녀석이 그 소문의 친구인가?"""
ssn_019130_002_0090#0,"""로지 씨?"""
ssn_019130_002_0100#0,"""갑작스럽게 말해서 미안하구먼.<br>자네 소문은 이것저것 들었네."""
ssn_019130_002_0110#0,"""난 보다시피 이젠 늙은 몸이라서 말이지."""
ssn_019130_002_0120#0,"""셰미를 도와줄<br>후임을 찾고 있었네."""
ssn_019130_002_0130#0,"""그래서 떠오른 게,<br>이래저래 화제인 자네였지."""
ssn_019130_002_0140#0,"""셰미, 이번 의뢰가<br>뭐였더라?"""
ssn_019130_002_0150#0,"""심볼이 달린 에너미의,<br>…전투 데이터 수집."""
ssn_019130_002_0160#0,"""그래, 그거지.<br>그걸 자네한테 부탁하고 싶네."""
ssn_019130_002_0170#0,"""어떤가?<br>맡아 줄 수 있겠나?"""
ssn_019130_002_0180#0,"""로지 씨,<br>그렇게 갑자기…."""
ssn_019130_002_0190#0,"""그, 그래도 저도 부탁드릴게요.<br>데이터 수집, 도와주세요."""
ssn_019130_002_0200#0,"""…다른 사람한텐 부탁하기가 어려워서요."""
ssn_019130_002_0210#0,"""저, 저기…<br>와 주셔서 감사합니다."""
ssn_019130_002_0220#0,"""그래서 바로,<br>상담드릴 게 있는데…."""
ssn_019130_002_0230#0,"""제가 장비를 연구할 때,<br>도와주시는 분이 한 분… 계시거든요."""
ssn_019130_002_0240#0,"""로지 씨라고 하는,<br>베테랑 아크스인데…."""
ssn_019130_002_0250#0,"""그분이…<br>전투단 임무에서 빠지게 돼서요."""
ssn_019130_002_0260#0,"""다른 사람 중에 도와줄 분이 없을까<br>얘기하다가, 당신 이름이 나왔어요…."""
ssn_019130_002_0270#0,"""여어, 셰미.<br>저 녀석이 그 소문의 친구인가?"""
ssn_019130_002_0280#0,"""로지 씨?"""
ssn_019130_002_0290#0,"""갑작스럽게 말해서 미안하구먼.<br>자네 소문은 이것저것 들었네."""
ssn_019130_002_0300#0,"""난 보다시피 이젠 늙은 몸이라서 말이지."""
ssn_019130_002_0310#0,"""셰미를 도와줄<br>후임을 찾고 있었네."""
ssn_019130_002_0320#0,"""그래서 떠오른 게,<br>이래저래 화제인 자네였지."""
ssn_019130_002_0330#0,"""셰미, 이번 의뢰가<br>뭐였더라?"""
ssn_019130_002_0340#0,"""심볼이 달린 에너미의,<br>…전투 데이터 수집."""
ssn_019130_002_0350#0,"""그래, 그거지.<br>그걸 자네한테 부탁하고 싶네."""
ssn_019130_002_0360#0,"""어떤가?<br>맡아 줄 수 있겠나?"""
ssn_019130_002_0370#0,"""로지 씨,<br>그렇게 갑자기…."""
ssn_019130_002_0380#0,"""그, 그래도 저도 부탁드릴게요.<br>데이터 수집, 도와주세요."""
ssn_019130_002_0390#0,"""…다른 사람한텐 부탁하기가 어려워서요."""
ssn_019130_002_1010#0,"""오, 돌아왔군.<br>덕분에 살았네…."""
ssn_019130_002_1020#0,"""어땠나?<br>괜찮아 보이던가?"""
ssn_019130_002_1030#0,"""으, 응.<br>완벽해…."""
ssn_019130_002_1040#0,"""그런가.<br>그럼 난 정식으로 은퇴해야겠구먼."""
ssn_019130_002_1050#0,"""앞으로 셰미는,<br>자네에게 맡기겠네."""
ssn_019130_002_1060#0,"""…뭔가,<br>그 말투 싫어요."""
ssn_019130_002_1070#0,"""셰미는 내성적인 면이 있지만,<br>기술자로서는 확실한 실력을 갖고 있네."""
ssn_019130_002_1080#0,"""나도 저 무기와 방어구에,<br>여러 번 도움을 받았지."""
ssn_019130_002_1090#0,"""앞으로는 자네가,<br>그 힘이 되어 주게."""
ssn_019130_002_1100#0,"""로지 씨…."""
ssn_019130_002_1110#0,"""지금까지 고마워요."""
ssn_019130_002_1120#0,"""오우! 그렇다고 해도,<br>이번 생 마지막 인사는 아니야."""
ssn_019130_002_1130#0,"""전투단 선배로서,<br>아크스 육성 쪽으로 돌아갈 뿐이네."""
ssn_019130_002_1140#0,"""자네와 마주칠 일도 있겠지."""
ssn_019130_002_1150#0,"""그럼 이만.<br>둘 다 잘 지내게."""
ssn_019130_002_1160#0,"""…응."""
ssn_019130_002_1170#0,"""그… 뭔가 좀 강압적인 흐름으로,<br>도와주게… 됐지만요."""
ssn_019130_002_1180#0,"""괜찮으시다면,<br>다음에도… 부탁드려도 될까요?"""
ssn_019130_002_1190#0,"""보답도 제대로 드릴게요."""
ssn_019130_002_1200#0,"""그, 그럼…<br>앞으로도 잘 부탁…드립니다."""
ssn_019130_002_5010#0,"""로지 씨는,<br>계속 제 연구를 도와주셨거든요…."""
ssn_019130_002_5020#0,"""조금 걱정이 많은 편이라,<br>…그게 좀 곤란하긴 하지만요."""
ssn_019130_002_6010#0,"""앞으로도 제 일을,<br>…잘 부탁드릴게요."""
ssn_019130_002_6020#0,"""…장비에 관해 무슨 일이 생기면,<br>그… 뭐든 말씀해 주세요."""
npc_menu_0010#0,"""시즈널 포인트와 교환하기 ($(0)까지)"""
npc_menu_0020#0,"""뉴이어'23의 시즈널 포인트와 교환하기 ($(0)까지)"""
npc_menu_0030#0,"""광석과 교환하기 ($(0)까지)"""
npc_menu_0040#0,"""시즈널 이벤트에 관하여"""
npc_menu_0050#0,"""메뉴 닫기"""
npc_menu_1010#0,"""\""시즈널 포인트\""에 관하여"""
npc_menu_1020#0,"""\""시즌 에너미\""에 관하여"""
npc_menu_1030#0,"""\""시즈널 리전 마그\""에 관하여"""
