msc_012230_0010#0,"""그럼, 시작하겠네."""
msc_012230_0020#0,"""여기가 레누스 리템의<br>근거지……“돔”."""
msc_012230_0030#0,"""우리가 할 일은 하나.<br>사막을 건너 내부에 돌입한 뒤……."""
msc_012230_0040#0,"""거기서 단숨에 친다!"""
msc_012230_0050#0,"""남은 시간도 전력도 얼마 없지만,<br>……모두 힘을 빌려다오."""
msc_012230_0060#0,"""이 쪽이 치고 나가는 것…….<br>역시 그 수 밖에 없겠지."""
msc_012230_0070#0,"""허나 돔의 방어는 견고하네.<br>그저 부딪친다고 뚫리진 않을 것이야."""
msc_012230_0080#0,"""물론 단순 돌격만 할 수는 없지.<br>접근한 시점에서 세력을 수 갈래로 분산시킨 뒤……."""
msc_012230_0090#0,"""상대의 전력을 줄여 나가면서, 날 포함한 주력부대가<br>레누스 리템이 있는 중심부로 이동한다."""
msc_012230_0100#0,"""상세한 작전은 하디, 쟈릴, 모흐센과 내가 세우겠다.<br>그대들은 작전 개시까지 준비를 갖춰다오. 일단 해산하자."""
msc_012230_0110#0,"""이런 상황에 실례할게.<br>그 자료에 관해서 말인데……."""
msc_012230_0120#0,"""과거의 전투 기록은 여기에 실려있네."""
msc_012230_0130#0,"""고마워."""
msc_012230_0140#0,"""전황을 바꿀 만한 정보가 있을 거라곤 생각되지 않지만……."""
msc_012230_0150#0,"""어?\u3000마논은?"""
