msc_012170_0010#0,"""그 많은 돌즈를<br>이렇게 단시간에……!"""
msc_012170_0020#0,"""그대들의 실력을 의심한 점,<br>그리고 여태까지 범한 무례, 고개 숙여 사과드리오."""
msc_012170_0030#0,"""모, 모흐센!<br>무슨 소리인가!?"""
msc_012170_0040#0,"""쟈릴.<br>그들은 스스로의 무용을 유감없이 드러냈네."""
msc_012170_0050#0,"""으음…….<br>그, 그렇지……."""
msc_012170_0060#0,"""그 힘……,<br>인정하지 못할 것도 없지."""
msc_012170_0070#0,"""그래서 처음부터 말했잖은가.<br>이 자들은 강하다고."""
msc_012170_0080#0,"""그럼 우리도<br>레누스 리템과의 전투에 협력할게!"""
msc_012170_0090#0,"""……알겠네, 잘 부탁하오."""
msc_012170_0100#0,"""응.<br>……그런데, 한 가지 묻고 싶은 게 있어."""
msc_012170_0110#0,"""무엇인가?"""
msc_012170_0120#0,"""리템 리전 여기저기에<br>스피커같은 게 있던데……."""
msc_012170_0130#0,"""그것들은 뭐야?"""
msc_012170_0140#0,"""그건……<br>노래를 퍼트리기 위한 장치요."""
msc_012170_0150#0,"""……노래?"""
msc_012170_0160#0,"""리템 리전의 수장인 나데레프의 집안은<br>대대로, “노래”라는 특수한 힘을 가지고 있소."""
msc_012170_0170#0,"""전쟁터에서 “전쟁의 노래”로 우리 아크스를 강화하여,<br>돌즈에게도 밀리지 않는 힘으로 싸울 수 있었지."""
msc_012170_0190#0,"""그런 편리한 게 있는데<br>왜 안 쓰는 거야?"""
msc_012170_0200#0,"""그건……."""
msc_012170_0210#0,"""우리와 함께 싸우는 이들이니 알 권리 역시 있지.<br>“제단”에서 이야기하겠네. 따라와 주겠소?"""
msc_012170_0220#0,"""노래의……힘……."""
