msc_012240_0010#0,"""아……여깄었구나."""
msc_012240_0020#0,"""말 없이 나와서 미안해. 바깥 공기를 쐬고 싶어서……."""
msc_012240_0040#0,"""여긴, 이 할파는……가혹한 곳이구나.<br>정말로……잔인하고, 무자비한 곳……."""
msc_012240_0050#0,"""마논……?"""
msc_012240_0060#0,"""그저 살아가는 것 만을 위해서…….<br>수많은 아크스가 돌즈와 싸우고, 목숨을 잃어."""
msc_012240_0070#0,"""그건 “애도의 노래”……알고 있었나?"""
msc_012240_0080#0,"""나데레프……."""
msc_012240_0090#0,"""무슨 일이지?"""
msc_012240_0100#0,"""전투 기록을 보고 나서……<br>문득 정신이 드니 여기 있었어."""
msc_012240_0110#0,"""리템 리전은……옛날부터 싸움이 끊이지 않았고……<br>많은 사람들이 희생됐어……."""
msc_012240_0120#0,"""………."""
msc_012240_0130#0,"""다시 싸움이 일어나면……또 희생자가 나올 거라고.<br>그렇게 생각하니……."""
msc_012240_0140#0,"""당신은 여기 무슨 일로 온 거야?"""
msc_012240_0150#0,"""……큰 전투를 앞뒀을 땐 늘 찾아왔어.<br>떠난 동료들을 기리면서……애도의 노래를 불러주기 위해."""
msc_012240_0160#0,"""………."""
msc_012240_0170#0,"""그리고 마음 속에 맹세하는 거지……더 이상 희생자를 내지 않겠다고."""
msc_012240_0180#0,"""하지만……이게 현실이다."""
msc_012240_0190#0,"""나 혼자 강해진다 한들……모두를 지킬 수는 없어."""
msc_012240_0200#0,"""내게 “노래”의 힘이 있었다면…….<br>이렇게 많은 동료들이 떠나지는 않았을텐데."""
msc_012240_0210#0,"""내가 힘이 없는 탓에……."""
msc_012240_0220#0,"""아니야!"""
msc_012240_0230#0,"""당신에겐 아무 잘못 없어…….<br>잘못된 건, 정말로 잘못된 건……."""
msc_012240_0240#0,"""미안해. 소리 질러서……방금 건 잊어 줘."""
msc_012240_0250#0,"""노래의……힘……."""
msc_012240_0260#0,"""이건……."""
msc_012240_0270#0,"""그래!\u3000……알았어!"""
msc_012240_0280#0,"""방금 전에 조사한 데이터, 과거의 리더들…….<br>당신의 힘은 그들의 것과는 달라……그래!\u3000애초에 다른 힘이었던 거야!\u3000"""
msc_012240_0290#0,"""……？"""
msc_012240_0300#0,"""너의 진정한 힘은……!"""
