msc_012200_0010#0,"""음, 대충 정리됐구먼."""
msc_012200_0020#0,"""……해서, 왜 노래의 힘을 쓰지 않는가, 였지."""
msc_012200_0030#0,"""리템 리전의 수장은 대대로<br>“무”의 힘과, “노래”의 힘으로 싸워왔소. 헌데……."""
msc_012200_0040#0,"""나데레흐에게는 “노래”의 힘이 없는 것이야."""
msc_012200_0050#0,"""그 아이가 우리의 수장이 된 날…….<br>수많은 아크스가 여기 모였소."""
msc_012200_0060#0,"""그들 앞에서 나데레흐는 “전쟁의 노래”를 불렀소.<br>허나, 노래의 힘은 나타나지 않았지."""
msc_012200_0070#0,"""어째서?"""
msc_012200_0080#0,"""……우리도 모르오."""
msc_012200_0100#0,"""모인 이들 모두가 동요했지만<br>가장 괴로웠던 건 나데레흐였겠지."""
msc_012200_0110#0,"""하지만 그럼에도 나데레흐는<br>수장으로서의 사명을 다하고 있소."""
msc_012200_0130#0,"""거듭된 단련으로 얻은, 남들이 이르지 못한<br>“무”……그것은 “노래”의 힘 못지 않소."""
msc_012200_0150#0,"""그 노력과 강함을 찬미할지언정, 노래의 힘이 없는 것을<br>비난하는 치는 우리 중에는 단 한 사람도 없소."""
msc_012200_0161#0,"""……나데레흐의 노래의 힘에 대해<br>검증된 데이터는 있어?"""
msc_012200_0163#0,"""예를 들면, 기록 영상이나……<br>누군가의 연구자료같은……."""
msc_012200_0165#0,"""문제가 없다면,<br>그런 걸 우리에게 보여줬으면 해."""
msc_012200_0170#0,"""흠…… 아마 리템 시티의 단말에<br>남아있을진대……."""
msc_012200_0180#0,"""그럼, 시티로 돌아가자."""
