msc_022010_0010#0,"""ขอบคุณทุกคนที่มารวมตัวกันที่นี่ครับ"""
msc_022010_0020#0,"""วันนี้ เราจะมาพูดคุยเกี่ยวกับการสืบสวนฮาลฟา (Halpha) ทั้งหมดของเรากันครับ"""
msc_022010_0030#0,"""เพื่อให้สามารถต่อกรกับพวก DOLLS และพวก Starless ได้ครับ"""
msc_022010_0040#0,"""พวกเราก็ทำเท่าที่ทำได้กันหมดแล้ว มีปัญหาอะไรงั้นเหรอ?"""
msc_022010_0050#0,"""เปล่าครับ เราได้รับรายงานของพวกคุณแล้วล่ะ"""
msc_022010_0060#0,"""เพียงแต่ การที่เราต้องกระจายกำลังกันไปทั่วทุกภูมิภาคแบบนี้มันไม่มีประสิทธิภาพเอาซะเลยน่ะครับ"""
msc_022010_0070#0,"""นั่นเป็นเหตุผลที่ผมกำลังคิดที่จะจัดระเบียบทีมสำรวจของเราด้วยการรวมพวกเขาเข้าด้วยกันครับ"""
msc_022010_0080#0,"""...อืม"""
msc_022010_0090#0,"""ฉันก็ไม่ขัดข้องหรอกนะ แต่ทุกทีมก็ต้องมีผู้นำใช่ไหมล่ะ?"""
msc_022010_0100#0,"""แล้วใครจะเป็นคนรับหน้าที่นั้นล่ะคะ?"""
msc_022010_0110#0,"""อา คุณพูดถูกแล้วล่ะครับ"""
msc_022010_0120#0,"""แต่ก่อนที่เราจะคุยเรื่องนั้น..."""
msc_022010_0130#0,"""ผมอยากจะพูดถึงคนที่จะถูกขอให้เข้าร่วมทีมสำรวจนี้ก่อนน่ะครับ"""
msc_022010_0140#0,"""......?"""
msc_022010_0150#0,"""มาน่อนครับ"""
msc_022010_0160#0,"""มาน่อนงั้นเหรอ?"""
msc_022010_0170#0,"""เธอจะกลับมาปฏิบัติหน้าที่งั้นเหรอคะ?"""
msc_022010_0180#0,"""ใช่ครับ"""
msc_022010_0190#0,"""ผมได้คุยกับเธอมาแล้ว และเธอก็ตกลงแล้วครับ"""
msc_022010_0200#0,"""ใช่ครับ นั่นคือสิ่งที่เราตัดสินใจแล้ว"""
msc_022010_0210#0,"""ผมได้คุยกับเธอมาแล้ว และเธอก็ตกลงแล้วครับ"""
msc_022010_0220#0,"""งั้นก็หมายความว่า... มาน่อนจะได้เป็นอิสระแล้วใช่ไหมคะ?"""
msc_022010_0230#0,"""แน่นอนครับ"""
msc_022010_0240#0,"""เธออาจจะต้องมาตรวจเช็กร่างกายเป็นประจำ<br>แต่เรื่องอื่นๆ ก็จะกลับมาเป็นปกติสำหรับเธอแล้วล่ะครับ"""
msc_022010_0250#0,"""เย้!"""
msc_022010_0260#0,"""ครอว์ฟอร์ด (Crawford) พวกเราขอช่วยเรื่องการสำรวจนี้ด้วยได้ไหมคะ?"""
msc_022010_0270#0,"""<%me> เธอเองก็อยากกลับไปร่วมทีมกับมาน่อนใช่ไหมล่ะ?"""
msc_022010_0280#0,"""มาทำให้ทีมของเรากลับมารวมกันอีกครั้งเถอะ"""
msc_022010_0290#0,"""ฉันคงต้องจัดตารางงานใหม่ซะแล้ว..."""
msc_022010_0300#0,"""ขอโทษด้วยนะครับ แต่พวกคุณสามคน<br>จะได้รับมอบหมายงานแยกกันน่ะครับ"""
msc_022010_0310#0,"""อะไรนะคะ?<br>...แต่ว่า..."""
msc_022010_0320#0,"""<%me> ผมอยากให้คุณมุ่งเน้นไปที่บทบาทของคุณในฐานะ<br>ผู้พิทักษ์ (Guardian) ที่เป็นผู้นำในการต่อสู้กับพวก Starless น่ะครับ"""
msc_022010_0330#0,"""ไอน่า ผมอยากให้คุณมุ่งเน้น<br>ไปที่การฝึกฝนทหารใหม่ของเราครับ"""
msc_022010_0340#0,"""..."""
msc_022010_0350#0,"""ฉันจะเป็นผู้บัญชาการของทีมสำรวจนั้นเอง"""
msc_022010_0360#0,"""เกลน (Glen)?"""
