name_7430#0,"""シラセ"""
ssn_014790_0001#0,"""機械の修理って、<br>本当に繊細で難しいのですよね。"""
ssn_014790_0002#0,"""あとちょっとで直りそうでも、<br>その“ちょっと”がどうすれば上手くいくか……。"""
ssn_014790_0101#0,"""あ、私、この先遣隊で、<br>整備を担当しているシラセといいます。"""
ssn_014790_0102#0,"""今は、壊れたロボットを<br>修理しようとしているところなんです。"""
ssn_014790_0103#0,"""それで、困ったことがありまして……。"""
ssn_014790_0104#0,"""いくつか、パーツが足りないので、<br>使えそうなものを見繕っているんです。"""
ssn_014790_0105#0,"""もしよければ、<br>助けてもらえないでしょうか？"""
ssn_014790_0201#0,"""……そうですよね。<br>急に言われても困りますよね……。"""
ssn_014790_0301#0,"""壊れたロボットを直したいんです。"""
ssn_014790_0302#0,"""“フォトンチャンク”を<br>譲ってもらえますか？"""
ssn_014790_0401#0,"""フォトンチャンクを10個渡す"""
ssn_014790_0402#0,"""やめる"""
ssn_014790_0501_001#0,"""ありがとうございます！<br>これで、ロボットが直せそうです。"""
ssn_014790_0501_002#0,"""ここのロボットたちは、クヴァリスのセントラルシティが<br>健在だったころから動いているそうです。"""
ssn_014790_0501_003#0,"""でも、いくつかはこうして<br>壊れたまま放置されています。"""
ssn_014790_0501_004#0,"""店番の子たちも、いつ調子が悪くなるかわかりませんし、<br>メンテナンスができるようにしたいんですよね。"""
ssn_014790_0501_005#0,"""毎日頑張って働いてくれているんだから、<br>私もしっかりケアしてあげたいです。"""
ssn_014790_0501_006#0,"""じゃあ、フォトンチャンクでの修理を試してみますね。<br>出力はこれで十分なはず……。"""
ssn_014790_0501_007#0,"""楽しみに待っていてください。"""
ssn_014790_0502#0,"""……あら、少し足りないみたいですね。<br>申し訳ありませんが、必要なぶんだけいただけると……。"""
ssn_014790_0503#0,"""そうですか……。<br>お待ちしていますので、よろしくお願いしますね。"""
ssn_014790_1001#0,"""フォトンチャンク、ありがとうございました。"""
ssn_014790_1002#0,"""ただ……修理はまだ<br>完了していなくてですね。"""
ssn_014790_1003#0,"""よくよく調べてみたら、<br>別の場所も壊れているみたいなんです。"""
ssn_014790_1004#0,"""もしよければ、<br>また助けてもらえないでしょうか？"""
ssn_014790_1101#0,"""そ、そうですよね。<br>あれもこれもって、都合よすぎですよね……。"""
ssn_014790_1201#0,"""頑張っているんですけど、<br>ロボットはまだ直せてなくて。"""
ssn_014790_1202#0,"""“フォトンクォーツ”を<br>譲ってもらえますか？"""
ssn_014790_1301#0,"""フォトンクォーツを10個渡す"""
ssn_014790_1302#0,"""やめる"""
ssn_014790_1401_001#0,"""ありがとうございます！<br>これで、ようやくロボットが直せそうです。"""
ssn_014790_1401_002#0,"""今度こそ、きっと大丈夫です。<br>私は直せるまで諦めませんよ！"""
ssn_014790_1401_003#0,"""ここにいるロボットたちは、かつてのクヴァリスアークスが<br>使っていたみたいなんですが……。"""
ssn_014790_1401_004#0,"""それよりも、はるか昔から動いていたっていう<br>データも見つかっているんです。"""
ssn_014790_1401_005#0,"""だから、壊れたロボットを直せたら、<br>失われた技術の解明が進むんじゃないかなって。"""
ssn_014790_1401_006#0,"""未知なる技術に一歩近づけると思うと、<br>わくわくしますよね！"""
ssn_014790_1401_007#0,"""それでは、修理に着手しようと思います。"""
ssn_014790_1401_008#0,"""少し時間がかかると思いますので、<br>あなたの本来の任務に戻っていただければと。"""
ssn_014790_1401_009#0,"""修理が完了したら、報告しますので。"""
ssn_014790_1402#0,"""……あら、少し足りないみたいですね。<br>申し訳ありませんが、必要なぶんだけいただけると……。"""
ssn_014790_1403#0,"""そうですか……。<br>お待ちしていますので、よろしくお願いしますね。"""
ssn_014790_1501#0,"""見てください。<br>ロボット、ちゃんと動くようになりました！"""
ssn_014790_1502#0,"""助けてくれて、ありがとうございました。"""
ssn_014790_1503#0,"""あなたがいなかったら、<br>準備だけで何日かかっていたやら。"""
ssn_014790_1504#0,"""ふふ……この子、かわいいでしょう？<br>自分で直したせいもあってか、愛着もひとしおなんです。"""
ssn_014790_1505#0,"""まあ、直したといっても、<br>ちょっとしたほころびをつくろっただけですけど。"""
ssn_014790_1506#0,"""いずれは、こういう子たちを、<br>イチから作れるようになりたいですよね。"""
ssn_014790_1507#0,"""もっと、技術を身につけて、<br>よりよい暮らしの役に立てればと思っています。"""
ssn_014790_1508#0,"""お店の子たちと同じく、<br>この子も可愛がってやってくださいね。"""
ssn_014790_1509#0,"""それでは。"""
ssn_014790_1601#0,"""よりよい暮らしのために、<br>もっと技術を身につけたいです。"""
ssn_014790_1602#0,"""お店の子たちと同じく、<br>この子も可愛がってやってくださいね。"""
ssn_014790_1701#0,"""今度こそ絶対に修理してみせますよ。"""
ssn_014790_1702#0,"""終わったら、連絡しますので。"""
ssn_014790_1801#0,"""見てください。<br>このとおり、ちゃんと動くようになりました！"""
ssn_014790_1802#0,"""お店の子たちと同じく、<br>この子も可愛がってやってください。"""
ssn_014790_1803#0,"""もっと、技術を身につけて、<br>よりよい暮らしに役立てたいですね。"""
