name_7400#0,"""Dualdre"""
ssn_014275_0001#0,"""เอาล่ะ มาเริ่มกันเลย"""
ssn_014275_0101#0,"""...หืม? ดูเหมือน Class ของเธอจะไม่ใช่ Bouncer นะ"""
ssn_014275_0102#0,"""คงต้องไปลงทะเบียนเป็น Bouncer ที่ Class Counter ก่อนล่ะ จัดการเรื่องระเบียบการให้เสร็จก่อนน่ะ เข้าใจไหม?"""
ssn_014275_0103#0,"""ระหว่างที่อยู่ที่นั่น ก็ลองดู Class Skill ของ Bouncer ให้ดี ๆ แล้วจำให้ขึ้นใจล่ะ"""
ssn_014275_0104#0,"""แต่เอาเถอะ ไหน ๆ ก็อยู่ที่นี่แล้ว จะบอกให้ฟังก็แล้วกันว่า Class นี้มันเป็นยังไง"""
ssn_014275_0201#0,"""Bouncer เป็น Class ที่โดดเด่นในการต่อสู้ระยะใกล้ถึงกลาง"""
ssn_014275_0202#0,"""เราเก่งเรื่องการต่อสู้กลางอากาศเป็นพิเศษนะ ใช้ทั้งอาวุธและ Technique เพื่อล่องลอยดั่งผีเสื้อ และต่อยเจ็บเหมือนผึ้งเลยล่ะ"""
ssn_014275_0203#0,"""เรายังเก่งเรื่องการทำให้เกิด Physical Down และ Attribute Down เพื่อพลิกสถานการณ์การต่อสู้ให้ได้เปรียบด้วย"""
ssn_014275_0204#0,"""ก็เหมือนกับ Class อื่น ๆ นั่นแหละ Class Skill คือหัวใจสำคัญ อันดับแรก ควรจะเชี่ยวชาญ 'Elemental Decline' ก่อนเลยนะ"""
ssn_014275_0205#0,"""ตอนนี้จะมอบหมายงานนี้ให้ไปทำก่อน ลองไปทำดูนะ"""
