name_7400#0,"""Dualdre"""
ssn_014270_0010#0,"""ไง ไม่เคยเห็นหน้าแถวนี้มาก่อนเลย เพิ่งมาถึง Central City ล่ะสิ?"""
ssn_014270_0020#0,"""ไว้เก่งขึ้นอีกหน่อยลองมาหาฉันสิ อาจจะมีเรื่องสอนให้สักเรื่องสองเรื่องก็ได้นะ"""
ssn_014270_0030#0,"""ดีใจที่ได้เจอนะ"""
ssn_014270_0040#0,"""ฉันเป็นหัวหน้าครูฝึกสำหรับการต่อสู้แบบผสมผสานน่ะ"""
ssn_014270_0050#0,"""เคยได้ยินเรื่องของเธอมาบ้างเหมือนกันนะ ช่วงนี้สร้างชื่อเสียงไว้เยอะเลยนี่ ถูกใจเลยล่ะ"""
ssn_014270_0055#0,"""อยากเรียนรู้เรื่องการต่อสู้แบบผสมผสานไหม? สอนให้ได้นะ"""
ssn_014270_0060#0,"""อา ก็ได้... ถ้าเปลี่ยนใจเมื่อไหร่ก็บอกแล้วกันนะ"""
ssn_014270_0070#0,"""ที่นี่ไม่มีอภิสิทธิ์หรอกนะ ต้องเริ่มจากพื้นฐานเหมือนกับคนอื่น ๆ"""
ssn_014270_0080#0,"""พอฉันฝึกให้เสร็จ เธอก็จะต่อสู้ได้อย่างเป็นธรรมชาติเหมือนกับตอนที่หายใจเลยล่ะ"""
ssn_014270_0101#0,"""น่าจะเรียนรู้ความสำคัญของ Class Skill มาจากการฝึกพื้นฐานแล้วนะ"""
ssn_014270_0102#0,"""ฉันอยากเห็นเธอไปได้ไกลจริง ๆ อุทิศตนให้กับกลไกของการต่อสู้ แล้วยกระดับความเป็น Braver ขึ้นไปอีกขั้นซะ"""
ssn_014270_0103#0,"""ฉันอยากเห็นเธอไปได้ไกลจริง ๆ อุทิศตนให้กับกลไกของการต่อสู้ แล้วยกระดับการต่อสู้แบบผสมผสานขึ้นไปอีกขั้นซะ"""
