msc_012270_0010#0,"""Все бойцы на позициях!"""
msc_012270_0020#0,"""К операции готовы!"""
msc_012270_0030#0,"""Долгое время нас мучал Ренус Ритем. Мы потеряли много друзей.<br>Но сегодня, мы должны разобраться с этим."""
msc_012270_0040#0,"""Мы должны одолеть Ренус Ритем!"""
msc_012270_5010#0,"""おおぉー"""
msc_012270_0050#0,"""Подтверждаю появление отряда DOLLS!"""
msc_012270_0060#0,"""Отлично!<br>Всем силам, в атаку!"""
msc_012270_5020#0,"""うぉぉぉぉー、やってやるぅ！"""
msc_012270_0070#0,"""Мы тоже!"""
name01#0,"""ARKS мат-тех обеспечения Ритем"""
name02#0,"""ARKS связист Ритем"""
name03#0,"""ARKS надсмотрщик Ритем"""
