11_voice_NPC_5597_101#0,"""GG. В конце концов лучше ходить<br>на квест в полной пачке."""
11_voice_NPC_5598_101#0,"""Находясь на квесте, можно<br>сделать крутой скриншот<br>со своим оружием!<br>А, скриншот я позже загружу."""
11_voice_NPC_5597_100#0,"""Отлично-отлично.<br>Я использую хештег 「#PuSoNiдрузья」."""
text04#0,"""Если у тебя найдётся тот,<br>который понравится,<br>то отправь мне, пожалуйста.<br>...Интересно, можем ли<br>мы быть друзьями?"""
11_voice_NPC_5597_106#0,"""А для тебя, это неожиданно, да?<br>Мы так много играли вместе,<br>разве мы уже не друзья."""
text06#0,"""Извини, я спрашивала о разных<br>вещах, хоть это и была наша<br>первая встреча.<br>Давай с этого самого момента<br>поддерживать связь!"""
11_voice_NPC_5599_106#0,"""О б этим и веду речь!<br>Надеюсь на тебя!"""
text08#0,"""Давай и позже поиграем вместе!"""
11_voice_NPC_5597_100#1,"""Ведь это весело.<br>Большое спасибо, что тусуешься<br>с нами!"""
11_voice_NPC_5599_104#0,"""Предыдущий лобби экшн был хорош,<br>но как на счёт следующего..."""
11_voice_NPC_5598_100#0,"""Сейчас я добавила в сообщесто<br>хештег 「PuSoNiдрузья」!"""
11_voice_NPC_5597_101#1,"""Давай и позже поиграем вместе!"""
