name_7006#0,"""Ran."""
ssn_012070_0001#0,"""¡¡¡Gracias por su ayuda!!! He oído de Bruder que quieres aprender muchas cosas sobre cómo luchar en esta halfa."""
ssn_012070_0002#0,"""De hecho, hay algo que me gustaría preguntarte en términos de cómo luchas."""
ssn_012070_0003#0,"""Actualmente estoy haciendo mi propia investigación sobre los enemigos para apoyar a Arks como operador."""
ssn_012070_0004#0,"""¿Nos dejarás vigilarte mientras luchas contra el Enemigo?"""
ssn_012070_0005#0,"""Gracias. Te estás ocupando de ello, ¿verdad?"""
ssn_012070_0006#0,"""Soy la operadora más nueva de este centro de mando y espero alcanzar pronto a mis superiores."""
ssn_012070_0007#0,"""Y para ello, me gustaría saber más sobre el Enemigo."""
ssn_012070_0008#0,"""Así que nos gustaría observar un fenómeno llamado PSE Burst, que se produce cuando el PSE en la atmósfera cambia."""
ssn_012070_0009#0,"""Cuando se produce un PSE Buster, los enemigos se precipitan desde las zonas circundantes."""
ssn_012070_0010#0,"""¿Estarías dispuesto a permitirme controlar las fluctuaciones de este PSE derrotando a los Enemigos del Monte Magnus, cuya actividad ha aumentado recientemente?"""
ssn_012070_0101#0,"""Ya veo. Siempre puedes volver a contactar conmigo."""
ssn_012070_0201#0,"""Si tiene alguna petición sobre cómo deberíamos hacer nuestras operaciones, o si quiere que hagamos más, por favor, háganoslo saber."""
ssn_012070_0202#0,"""Espero que se lo pongamos fácil a todos."""
ssn_012070_0301#0,"""Esta misión será muy peligrosa. ¡Haré todo lo posible para apoyarte aquí también!"""
ssn_012070_0302#0,"""Le deseo la mejor de las suertes."""
