name_7237#0,"""Leso"""
ssn_014950_0001#0,"""อ่า วันนี้ก็หนาวอีกแล้ว..."""
ssn_014950_0002#0,"""โอ๊ะ? ดูเหมือนว่านายพอจะเอาตัวรอดได้นี่นา พอมองดูดีๆ แล้ว"""
ssn_014950_0003#0,"""สนใจอยากรู้เลยว่านายเก่งแค่ไหน หวังว่าสักวันคงได้เห็นฝีมือของนายนะ"""
ssn_014950_0101#0,"""สวัสดี... ฉันเป็นพลาธิการของหน่วยแนวหน้า เรียกฉันว่า Leso ก็ได้"""
ssn_014950_0102#0,"""ฮิฮิฮิ... ดูแข็งแกร่งดีนี่"""
ssn_014950_0103#0,"""รู้ไหม... ที่นี่เรามีนโยบายว่า ARKS ที่แข็งแกร่งที่สุดจะได้รับสิทธิ์ในการรับวัตถุดิบใหม่ก่อนใคร"""
ssn_014950_0104#0,"""อยากทดสอบความสามารถของนายจัง... ว่าคู่ควรกับสิทธิ์นั้นหรือเปล่า"""
ssn_014950_0201#0,"""ฝากจัดการพวก Crocodallus ใน Northern Kvaris ให้ทีนะ..."""
ssn_014950_0201_001#0,"""ช่วยจัดการพวก Crocodallus ที..."""
ssn_014950_0201_002#0,"""ปกติมักจะเจอพวกมันได้ที่ Bergana Ruins..."""
ssn_014950_0202#0,"""ฉันจะคอยเฝ้าดูอย่างตั้งใจเลยล่ะ... ว่านายจะจัดการศัตรูพวกนั้นยังไง"""
ssn_014950_0301#0,"""งั้นเหรอ... สะดวกเมื่อไหร่ก็บอกละกัน..."""
ssn_014950_0401#0,"""เห็นว่ากลับมาได้แล้วสินะ ทำได้ดีมาก..."""
ssn_014950_0402#0,"""ฉันได้ดูข้อมูลการต่อสู้ที่ส่งมาแล้วนะ"""
ssn_014950_0403#0,"""ยอดเยี่ยมไปเลย แทบจะละสายตาจากการต่อสู้ไม่ได้เลยล่ะ..."""
ssn_014950_0404#0,"""ผ่านการทดสอบแรกไปได้อย่างฉลุยเลยนะ"""
ssn_014950_0405#0,"""มาต่อที่บททดสอบต่อไปกันเลย..."""
ssn_014950_1001#0,"""เอาล่ะ... มาทดสอบสิทธิพิเศษในการรับเสบียงต่อกันเถอะ..."""
ssn_014950_1002#0,"""ขั้นตอนก็จะเหมือนเดิม... พร้อมเมื่อไหร่ก็บอกนะ จะได้เริ่มกันเลย"""
ssn_014950_1101#0,"""เป้าหมายต่อไปคือพวก Equalizing Enemy"""
ssn_014950_1102#0,"""ใน Kvaris สามารถหาพวกมันได้ตามที่ต่างๆ อย่าง Bergana Ruins หรือ Lost Central..."""
ssn_014950_1103#0,"""หรือถ้านายอยากไปหาที่เขตอื่นก็ไม่ว่ากันหรอกนะ"""
ssn_014950_1201#0,"""งั้นเหรอ... น่าเสียดายจังนะ..."""
ssn_014950_1301#0,"""เห็นว่ากลับมาได้แล้วสินะ ทำได้ดีมาก..."""
ssn_014950_1302#0,"""ฉันดูข้อมูลการต่อสู้เสร็จเรียบร้อยแล้วล่ะ"""
ssn_014950_1303#0,"""ดูการต่อสู้ของนายซ้ำไปซ้ำมาได้เป็นชั่วโมงโดยไม่เบื่อเลยล่ะ... นายนี่มันไม่ธรรมดาจริงๆ..."""
ssn_014950_1304#0,"""แน่นอนว่าผ่านการทดสอบ นายได้รับสิทธิ์รับสินค้าและบริการก่อนใครแล้วล่ะ..."""
ssn_014950_1305#0,"""แต่ก็ไม่ได้หมายความว่าจะได้ทุกอย่างที่ต้องการฟรีๆ หรอกนะ..."""
ssn_014950_1306#0,"""นายต้องเอาไอเทมบางอย่างมาแลกกับสิ่งที่อยากได้..."""
ssn_014950_1307#0,"""ถ้ามีอะไรที่สนใจก็บอกฉันได้เลย..."""
ssn_014950_1308#0,"""แล้วก็ ยินดีมากเลยถ้าจะให้ฉันได้ดูตอนนายสู้เป็นครั้งคราวน่ะ..."""
ssn_014950_1309#0,"""ไว้เจอกันนะ..."""
