name_7237#0,"""Leso"""
ssn_014951_0101#0,"""ฮิฮิฮิ... งั้นนายจะรับการทดสอบสินะ"""
ssn_014951_0102#0,"""การมอบวัตถุดิบที่ดีกว่าให้ ARKS ที่แข็งแกร่งกว่า ก็เพื่อสร้างความแข็งแกร่งเป็นแกนหลักน่ะ"""
ssn_014951_0103#0,"""บางคนอาจจะคิดว่ามันไม่ยุติธรรม แต่เสบียงที่นี่มีจำกัดนี่นะ..."""
ssn_014951_0104#0,"""แล้วก็... ในฐานะคนที่ไม่ค่อยเก่งเรื่องต่อสู้ ฉันชื่นชม ARKS ที่แข็งแกร่งอย่างนายมาตลอดเลย..."""
ssn_014951_0105#0,"""ก็เลยอยากจะช่วยเท่าที่ทำได้ ถือเป็นการเอาใจช่วยทุกคนอยู่ห่างๆ น่ะ..."""
ssn_014951_0106#0,"""เอาล่ะ เพื่อไม่ให้เสียเวลา อยากให้นายช่วยจัดการพวก Crocodallus ใน Northern Kvaris หน่อย..."""
ssn_014951_0106_001#0,"""เอาล่ะ เพื่อไม่ให้เสียเวลา อยากให้นายช่วยจัดการ Crocodallus ให้ที..."""
ssn_014951_0107#0,"""พวก Crocodallus... ตัวใหญ่มาก... เป็นคู่ต่อสู้ที่แข็งแกร่งแน่นอน"""
ssn_014951_0108#0,"""ฉันจะคอยดูอย่างตั้งใจเลยล่ะ... ว่านายจะจัดการศัตรูพวกนั้นยังไง"""
ssn_014951_0108_001#0,"""ส่วนใหญ่จะเจอได้ที่ Bergana Ruins..."""
ssn_014951_0109#0,"""โชคดีนะ..."""
