IncidentName#0,"""Destruye el Phantasmal Battleship Yamato!"""
TrialBeginMsg#0,"""Derrotar a Phantasmal Battleship Yamato dentro del limite de tiempo!"""
TrialAbstract#0,"""Derrotar a Phantasmal Battleship Yamato dentro del limite de tiempo!"""
NpcComOnBegin#0,"""Emergencia! se detecto una fuerte reacción<br>seca de ti!<br>tenga cuidado!"""
NpcComOnSuccess#0,"""La reacción a desaparecido!<br>bien hecho!"""
HP_Under_50#0,"""¡El $(0) se está cansando!"""
HP_Under_10#0,"""¡A $(0) le queda muy poca fuerza!"""
NpcComOnBeginNext#0,"""...... Hay una barrera alrededor del Yamato!<br>Al parecer, el ataque no pasa.<br>Pero, debe aver una debilidad en alguna parte"""
NpcComOnBreakBarrier#0,"""Parece que la barrera del Yamato está destruida!<br>Por favor, comiense la invasión!"""
NpcComOnDeathblow#0,"""Se detecto una alta reacción de energia<br>desde el acorazado Yamato!<br>por favor, tenga cuidado!"""
NpcComOnBegin#1,"""¡Aviso de emergencia!, ¡Se confirmó una fuerte presencia enemiga!<br>¡Date prisa por favor!."""
NpcComOnSuccess#1,"""¡Confirmo la desaparición de la presencia enemiga!<br>¡Bien hecho!"""
HP_Under_50#1,"""¡El $(0) se está cansando!"""
HP_Under_10#1,"""¡A $(0) le queda muy poca fuerza!"""
NpcComOnBeginNext#1,"""...... Hay una barrera alrededor del Yamato!<br>Al parecer, el ataque no pasa.<br>Pero, debe aver una debilidad en alguna parte"""
NpcComOnBreakBarrier#1,"""Parece que la barrera del Yamato está destruida!<br>Por favor, comiense la invasión!"""
NpcComOnDeathblow#1,"""Se detecto una alta reacción de energia<br>desde el acorazado Yamato!<br>por favor, tenga cuidado!"""
NpcComOnBegin#2,"""¡Aviso de emergencia!, ¡Se confirmó una fuerte presencia enemiga!<br>¡Date prisa por favor!."""
NpcComOnSuccess#2,"""¡Confirmo la desaparición de la presencia enemiga!<br>¡Bien hecho!"""
HP_Under_50#2,"""¡El $(0) se está cansando!"""
HP_Under_10#2,"""¡A $(0) le queda muy poca fuerza!"""
NpcComOnBeginNext#2,"""...... Hay una barrera alrededor del Yamato!<br>Al parecer, el ataque no pasa.<br>Pero, debe aver una debilidad en alguna parte"""
NpcComOnBreakBarrier#2,"""Parece que la barrera del Yamato está destruida!<br>Por favor, comiense la invasión!"""
NpcComOnDeathblow#2,"""Se detecto una alta reacción de energia<br>desde el acorazado Yamato!<br>por favor, tenga cuidado!"""
NpcComOnBegin#3,"""¡Aviso de emergencia!, ¡Se confirmó una fuerte presencia enemiga!<br>¡Date prisa por favor!."""
NpcComOnSuccess#3,"""¡Confirmo la desaparición de la presencia enemiga!<br>¡Bien hecho!"""
HP_Under_50#3,"""¡El $(0) se está cansando!"""
HP_Under_10#3,"""¡A $(0) le queda muy poca fuerza!"""
NpcComOnBeginNext#3,"""...... Hay una barrera alrededor del Yamato!<br>Al parecer, el ataque no pasa.<br>Pero, debe aver una debilidad en alguna parte"""
NpcComOnBreakBarrier#3,"""Parece que la barrera del Yamato está destruida!<br>Por favor, comiense la invasión!"""
NpcComOnDeathblow#3,"""Se detecto una alta reacción de energia<br>desde el acorazado Yamato!<br>por favor, tenga cuidado!"""
NpcComOnBegin#4,"""Atención AIS.!<br>Destruyan al Yamato inmediatamente!"""
NpcComOnSuccess#4,"""El Yamato se ha hundido!<br>Bien hecho!"""
HP_Under_50#4,"""El daño Hacia el Yamato va en aumento!"""
HP_Under_10#4,"""¡Solo un poco mas!, ¡Sigue adelante!"""
NpcComOnBeginNext#4,"""Compruebe el nucleo de barrera \""Yamato\""!<br>Se concentran la energia en las porciones laterales<br>Por favor, consentre el araque en ese punto!"""
NpcComOnBreakBarrier#4,"""Destrucción de la barrera Confirmada!<br>Por favor,proceda a invadir!"""
NpcComOnDeathblow#4,"""Altas Reacciones de energia<br>emitidas por Yamato!<br>Puede tener un ataque de gran alcance!<br>Por favor, tenga cuidado!"""
NpcComOnBeginNextNoBarrier#0,"""¡El armamento está en funcionamiento aun!<br>Tenga cuidado!"""
NpcComOnChangeShin#0,"""Ya está confirmado el cambio de su direccion!<br>Pero los ataques han aumentado.<br>Tenga cuidado!"""
