Title#0,"""Quintaesencia del Acero"""
Explanation#0,"""Fuera de las orillas de Japón, en el planeta<br>Tierra, el gran acorazado ha resurgido.<br>Las lecturas de energía son mucho<br>más poderosas que antes, por lo tanto los<br>riesgos en está misión son mucho más altos.<br>Sólo los ARKS Lv 80 pueden aceptar<br>esta mision.<br>――――――――――――――――――――<br>Se puede completar 1 vez<br>Fracaso: Finaliza el tiempo limite."""
SimpleExplanation#0,"""Destruye el Phantasmal Battleship Yamato!"""
a1#0,"""Completar cierta orden del cliente."""
a2#0,"""Completar cierta orden del cliente."""
a3#0,"""Poseer la licencia para Super Difícil."""
a4#0,"""Poseer la licencia para Super Difícil."""
NpcComMsg1#0,"""El objetivo ha reaparecido y se dirige hacia las zonas urbanas. Ya ha comenzado a moverse, así que no hay tiempo que perder."""
NpcComMsg2#0,"""Despliegue el A.I.S y destruya el objetivo. Aunque el área se convertirá en un campo de batalla, espero que cuiden de ustedes mismos."""
Area0S#0,"""Aguas costeras de Japon"""
Area0L#0,"""Planeta Tierra - Aguas costeras de Japon"""
Area1S#0,"""Aguas costeras de Japon"""
Area1L#0,"""Planeta Tierra - Aguas costeras de Japon"""
