msc_012270_0010#0,"""ทุกหน่วยเข้าประจำตำแหน่งแล้ว!"""
msc_012270_0020#0,"""พร้อมออกรบ!"""
msc_012270_0030#0,"""พวกเราต้องทนทุกข์ทรมานด้วยน้ำมือของ Lenus Retem มาอย่างยาวนาน พวกเราต้องสูญเสียไปมากมาย แต่วันนี้เราจะขอจบเรื่องนี้ลงซะที"""
msc_012270_0040#0,"""พวกเราจะจัดการ Lenus Retem ให้สิ้นซาก!"""
msc_012270_5010#0,"""โอ้วววว!"""
msc_012270_0050#0,"""พวก DOLLS กำลังบุกเข้ามาแล้ว!"""
msc_012270_0060#0,"""เอาล่ะ! ทุกหน่วย ลุยได้!"""
msc_012270_5020#0,"""ย้ากกกกก จัดการพวกมันเลย!"""
msc_012270_0070#0,"""พวกเราก็ไปกันเถอะ!"""
name01#0,"""หน่วยสนับสนุน ARKS แห่งเรเทม (Retem Logistics ARKS)"""
name02#0,"""หน่วยสื่อสาร ARKS แห่งเรเทม (Retem Comms ARKS)"""
name03#0,"""หน่วยเฝ้าระวัง ARKS แห่งเรเทม (Retem Surveillance ARKS)"""
