pr_062010_0010#0,"""시에라, 무슨 일이야!?"""
pr_062010_0020#0,"""미확인 워프 반응입니다!<br>망원 영상을 띄우겠습니다!"""
pr_062010_0030#0,"""뭐야, 저건……<br>처음 보는 함대……!?"""
pr_062010_0050#0,"""종말의 여신 시바의 함대.<br>말하자면 「종말의 함대」<br>정도일까요?"""
pr_062010_0060#0,"""그보다 저 함대 내부의 반응……<br>적이 빼곡히 들어차 있습니다!"""
pr_062010_0070#0,"""추격용 함대라는 거네.<br>철저하기도 하지."""
pr_062010_0080#0,"""<%me>!<br>나와 클라리스 클레이스의 함대가<br>적 함대의 시선을 끌겠다!"""
pr_062010_0090#0,"""나와 휴이는 둘 다 화려하니까!<br>미끼 역할에 제격일 거다!"""
pr_062010_0100#0,"""휴이 씨!<br>클라리스 클레이스!"""
pr_062010_0110#0,"""걱정은 필요 없다, 선대!<br>나와 휴이가 함께라면 최강이니까!"""
pr_062010_0120#0,"""그렇다!\u3000우리는 무적이다!<br>모두의 사기도 드높다!"""
pr_062010_0130#0,"""전투는 전투부에 맡겨라!<br>너희는 우리가 할 수 없는 일을<br>확실히 완수하고 와라!"""
pr_062010_0140#0,"""후후후, 그럼 리사도<br>저쪽에 끼어들어 볼까요."""
pr_062010_0150#0,"""리사는 할 말을 다 했고<br>이제는 싸우는 편이 더 효율적이고<br>무엇보다 재미있으니까요."""
