Begin#0,"""開始5087"""
Success#0,"""成功5087"""
Failure#0,"""失敗5087"""
Dead#0,"""自分死亡5087"""
BuddyDead#0,"""相手死亡5087"""
Evolution#0,"""発展5087"""
Begin#1,"""/mn15 /ci2 1 Oh, perfect timing! We're in a tight spot here! Could you help us out?"""
Success#1,"""/mn15 /ci2 1 Thank you, you saved us! I thought the two of us would be enough, but there were more of them than I expected."""
Failure#1,"""/mn1 Ah... We failed.<br>I guess we just got in your way. Time to get out of here."""
Dead#1,"""Dang, I can't move a muscle. This enemy's something else, I tell you..."""
BuddyDead#1,"""Sorry, Io! I'll handle things here! You just rest!"""
Begin#2,"""/ci2 1 Io, you need to slow down. Ah, I know how you feel, though. Mind if we cut in?"""
Success#2,"""/ci2 2 Yes, we did it, we did it!<br>When <%me>'s around, we can do anything. Right?"""
Failure#2,"""Looks like this old girl's done for.<br>You go ahead, I'll try and help out here!"""
Dead#2,"""Dang, this is a tough fight..."""
BuddyDead#2,"""Io, you took on too much at once. I know you're trying to help, but you need to pace yourself."""
Begin#3,"""/ci2 1 We're here to help! Oh, you got here first. In that case, we'll do what we can to back you up!"""
Success#3,"""/mn15 /ci2 1 We did it! That's Guardian power for you! Heh, maybe that's not my place to say. OK, let's start the rescue!"""
Failure#3,"""/mn1 Gah?! Damn it, I've failed..."""
Dead#3,"""/mn1 Gah?! Damn it, I've failed..."""
BuddyDead#3,"""/mn2 Io?! Don't you give up on me now!"""
