Begin#0,"""開始5150"""
Success#0,"""成功5150"""
Failure#0,"""失敗5150"""
Dead#0,"""自分死亡5150"""
BuddyDead#0,"""相手死亡5150"""
Evolution#0,"""発展5150"""
Begin#1,"""/ci1 2 Our mission is to rescue the crew, but we cannot do that while enemies remain. Let us work together."""
Success#1,"""/ci2 1 The two of us alone could not have managed. I'm glad you were here. Thank you. You were magnificent."""
Failure#1,"""/mn2 I must have let my guard down...<br>I'm sorry..."""
Dead#1,"""/mn2 I must have let my guard down...<br>I'm sorry..."""
BuddyDead#1,"""/mn2 ...It may be tough, but we cannot stop now."""
