a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
a5#0,"""Possess a Super Hard License."""
Title#0,"""Armada: ARKS Ship Rescue"""
Explanation#0,"""One of our cruisers has been attacked by<br>the Armada of Demise.<br>The ship has been incapacitated, and is<br>at risk of being captured.<br>Hurry and rescue it by eliminating enemy<br>forces on the deck.<br>In addition, enemy fighters have been<br>detected in space. Beware of their attacks.<br>――――――――――――――――――――<br>Failure: Time limit expires"""
NpcComMsg1#0,"""Now beginning the launch sequence.<br>Your objective is to rescue a friendly ship that has been attacked by enemy units."""
NpcComMsg2#0,"""Thanks to the enemy's attack, the friendly ship been incapacitated.<br>You will have to defeat the enemies to free it."""
NpcComMsg1#1,"""The ship is about to be captured.<br>Assemble on the deck and destroy the enemy units attempting to capture it."""
SimpleExplanation#0,"""Eliminate enemies on the deck!"""
Area0S#0,"""Armada Battlesphere"""
Area0L#0,"""Armada Battlesphere - Sector 1: Deployment Area"""
