Begin#0,"""開始5150"""
Success#0,"""成功5150"""
Failure#0,"""失敗5150"""
Dead#0,"""自分死亡5150"""
BuddyDead#0,"""相手死亡5150"""
Evolution#0,"""発展5150"""
Begin#1,"""/ci1 3 Stop babbling, Katori. We came to support you. Come, help us destroy these enemies and save the crew."""
Success#1,"""/ci1 2 If you can still chatter away after that, you must be ready for some tougher training.<br>You were all very helpful. Thank you."""
Failure#1,"""......"""
Dead#1,"""Ugh, I'm sorry. This battle has overwhelmed me..."""
BuddyDead#1,"""You need rest. With me,<br><%me>."""
