Begin#0,"""開始5244"""
Success#0,"""成功5244"""
Failure#0,"""失敗5244"""
Dead#0,"""自分死亡5244"""
BuddyDead#0,"""相手死亡5244"""
Evolution#0,"""発展5244"""
Begin#1,"""/ci1 1 파트너, 마침 잘 왔어!<br>우리끼리만으로는 벅차서 말이야.<br>좀 도와줘!"""
Success#1,"""/ci2 1 휴, 끝났다 끝났어!<br>파트너, 고마워!<br>유크 누나, 가자."""
Failure#1,"""으아앗……<br>미안해, 유크 누나, 파트너."""
Dead#1,"""그럴 수가……"""
BuddyDead#1,"""유크 누나!<br>너희들…… 절대로 용서 못 해!"""
Begin#2,"""/ci2 1 헤헷, 제노 선배와 셋이 싸우니까<br>그때가 떠오르네…… 좋아!<br>파트너, 한바탕 해 보자!"""
Success#2,"""/mn15 /ci2 1 어떻게든 해냈네, 파트너!<br>나도 조금은 도움이 됐지?<br>그럼 나중에 또 보자!"""
Failure#2,"""/mn1 젠장!<br>난 아직도 힘이 부족한 건가!"""
Dead#2,"""/mn2 윽……!<br>파트너…… 미안해……"""
BuddyDead#2,"""/mn2 제노 선배!?<br>파트너, 둘이서 버티자!"""
