name_7451#0,"""Victoria"""
ssn_016100_001_0010#0,"""โอเค! เอาล่ะ เดี๋ยวฉันจะสอนเกี่ยวกับ Line Strike ให้เอง"""
ssn_016100_001_0020#0,"""Line Strike เป็นสิ่งที่คุณเรียกว่าเกมประเภท 'card battle' น่ะ"""
ssn_016100_001_0030#0,"""สามารถใช้การ์ดได้ทั้งหมด 15 ใบ"""
ssn_016100_001_0040#0,"""แน่นอนว่าคุณต้องเตรียมเด็คให้พร้อมก่อนเริ่มเล่น"""
ssn_016100_001_0050#0,"""และคุณเชื่อไหม ฉันได้เตรียม Basic Deck ไว้ให้คุณพร้อมเล่นแล้วนะ!"""
ssn_016100_001_0060#0,"""ลองดูได้ตามสบายเลยนะ"""
ssn_016100_001_0070#0,"""เอาล่ะ นี่คือกฎของ Line Strike"""
ssn_016100_001_0080#0,"""การ์ดจะถูกวางลงบน Lines ทั้งสาม และผู้เล่นจะแข่งกันว่าใครจะได้พลังมากกว่ากันในแต่ละ Line"""
ssn_016100_001_0090#0,"""แต่ละ Line จะมี 'Base' ตั้งอยู่ แล้วก็..."""
ssn_016100_001_0100#0,"""...เอาจริงๆ นะ การเรียนรู้ด้วยการลองเล่นเองมันง่ายกว่ามานั่งฟังอธิบายเยอะเลย"""
ssn_016100_001_0110#0,"""เพราะงั้นมาเถอะ มาเล่นเกมกันดีกว่า!"""
