name_7450#0,"""Yunoka"""
ssn_015350_0001#0,"""หืม? หน้าตาไม่คุ้นเลยนะ อ๊ะ คุณคงมาจากเซ็นทรัลสินะ"""
ssn_015350_0002#0,"""มันคงจะเป็นการต่อสู้ที่ดุเดือดน่าดู แต่พยายามฝ่าฟันมันไปให้ได้นะ!"""
ssn_015350_0101#0,"""ยูฮู! แล้วคิดยังไงกับอากาศใน Stia ล่ะ?"""
ssn_015350_0102#0,"""ร้อนตับแลบเลยใช่ไหมล่ะ? การใช้ชีวิตที่นี่มันไม่ง่ายเลยใช่ไหม?"""
ssn_015350_0103#0,"""เพราะงั้น เพื่อเป็นการฆ่าเวลา ฉันเลยทำการค้นคว้าเกี่ยวกับวัตถุดิบอาหารน่ะ"""
ssn_015350_0104#0,"""อย่างน้อยถ้ามีอาหารอร่อยๆ ให้กินที่นี่ก็คงดีว่าไหม?"""
ssn_015350_0105#0,"""อยากให้สอนเกี่ยวกับวัตถุดิบแถวนี้ไหมล่ะ?"""
ssn_015350_0201#0,"""คุณสามารถหาผลไม้อย่าง 'Famed Stia Star Fruit' ได้ใน Stia Fringes นะ"""
ssn_015350_0202#0,"""แต่มันจะเก็บได้ตั้งแต่เช้าถึงเที่ยงเท่านั้น จำไว้ให้ดีล่ะ"""
ssn_015350_0203#0,"""หลังจากที่คุณลองไปเก็บด้วยตัวเองแล้ว ฉันจะบอกรายละเอียดเพิ่มเติมให้ ไปสิ ลองหาดู!"""
ssn_015350_0301#0,"""ไม่มีปัญหา ก็เป็นช่วงเวลาที่ทุกคนยุ่งนั่นแหละ"""
ssn_015350_0302#0,"""ไม่ต้องรีบ ว่างเมื่อไหร่ก็กลับมาได้เลย"""
ssn_015350_0401#0,"""ยูฮู! กลับมาแล้วเหรอ!"""
ssn_015350_0402#0,"""ใช่ นั่นแหละ 'Famed Stia Star Fruit'"""
ssn_015350_0403#0,"""ขอฉันดูหน่อยนะ"""
ssn_015350_0404#0,"""...ว้าว! อันนี้ถือเป็นการค้นพบครั้งใหญ่เลยนะ!"""
ssn_015350_0405#0,"""ด้วยวัตถุดิบหายากแบบนี้ คุณภาพของแต่ละอันที่คุณเจอจะต่างกันมากเลยล่ะ"""
ssn_015350_0406#0,"""มันอาจจะอร่อยสุดๆ หรือรสชาติแย่สุดๆ ไปเลยก็ได้..."""
ssn_015350_0407#0,"""ฉันเองก็ยังไม่แน่ใจเหมือนกันว่าทำไมมันถึงเก็บได้แค่ช่วงเวลาเฉพาะของวัน"""
ssn_015350_0408#0,"""แต่เดี๋ยวการวิจัยของฉันก็จะหาคำตอบได้ในที่สุดนั่นแหละ"""
ssn_015350_0409#0,"""ใช่แล้ว นี่คือของสำหรับการวิจัยที่ฉันรวบรวมอยู่น่ะ"""
ssn_015350_0410#0,"""คุณสามารถเอามันไปให้ Item Trader เพื่อแลกกับของอย่างอื่นได้เหมือนกันนะ"""
ssn_015350_0411#0,"""แต่มันเป็นของคุณนะ จะใช้ทำอะไรก็แล้วแต่เลย"""
ssn_015350_0412#0,"""แต่ถ้าเป็นฉัน คงเอามาวิจัยการทำอาหารแหละ..."""
ssn_015350_1001#0,"""ยูฮู! เอ็นจอยกับมื้ออาหารประจำวันไหม?"""
ssn_015350_1002#0,"""ยังมีวัตถุดิบหายากอีกนะ แต่ไว้ฉันจะเล่าให้ฟังวันหลังล่ะกัน"""
ssn_015350_1101#0,"""ยูฮู! มาได้จังหวะพอดีเลย"""
ssn_015350_1102#0,"""ฉันว่าถึงเวลาแล้วล่ะ ที่จะต้องเล่าให้คุณฟังเกี่ยวกับวัตถุดิบหายากอื่นๆ แถวนี้"""
ssn_015350_1201#0,"""หัวข้อของวันนี้คือ 'Famed Stia Crab'"""
ssn_015350_1202#0,"""สามารถหาได้ใน Outer Mediola: Sector 2"""
ssn_015350_1203#0,"""พวกมันคงจะไม่ออกมาช่วงที่สภาพอากาศเลวร้ายหรอกนะ จำไว้ให้ดีล่ะ"""
ssn_015350_1301#0,"""อ้าว ยุ่งอยู่เหรอ? ไม่เป็นไร"""
ssn_015350_1302#0,"""แวะมาอีกนะเมื่อมีเวลา เข้าใจไหม?"""
ssn_015350_1401#0,"""ยูฮู! กลับมาแล้วเหรอ"""
ssn_015350_1402#0,"""ใช่! นั่นแหละ! 'Famed Stia Crab'!"""
ssn_015350_1403#0,"""ไหน ขอฉันดูแป๊บนึงนะ"""
ssn_015350_1404#0,"""...โอ้ ใช่แล้ว คุณภาพค่อนข้างสูงเลยล่ะ"""
ssn_015350_1405#0,"""ส่วนเรื่องที่ว่าทำไมถึงหาได้เฉพาะตอนสภาพอากาศสงบนั้น..."""
ssn_015350_1406#0,"""พวกมันน่าจะสัมผัสได้ว่าอากาศของ Mediola กำลังจะเปลี่ยน เลยไปซ่อนตัวน่ะ"""
ssn_015350_1407#0,"""ไม่งั้นพวกมันคงจะโดนลาวาเผาจนเกรียมแน่ๆ"""
ssn_015350_1408#0,"""ถ้ามีเวลา ฉันจะลองค้นคว้าเรื่องนี้เพิ่มเติมดูนะ หมายถึงตอนที่ไม่ได้หาของกินรสชาติใหม่ๆ อยู่น่ะ"""
ssn_015350_1409#0,"""อ่ะ เอาล่ะ... ฉันได้ข้อมูลที่ต้องการแล้ว ตอนนี้คุณจะเอามันไปทำอะไรก็แล้วแต่เลย"""
ssn_015350_1410#0,"""ถึงโดยส่วนตัวแล้วฉันจะขอดูว่ามันรสชาติเป็นยังไงก่อนก็เถอะ..."""
ssn_015350_2001#0,"""หืม? อยากรู้เรื่องวัตถุดิบหายากเพิ่มเติมเหรอ?"""
ssn_015350_2002#0,"""ไม่ล่ะ ยังไม่บอกตอนนี้หรอก!"""
ssn_015350_2003#0,"""ต้องเก็บของดีไว้ทีหลังสิ"""
ssn_015350_2101#0,"""ยูฮู! วันนี้ดูร่าเริงจังเลยนะ"""
ssn_015350_2102#0,"""การต่อสู้ครั้งใหญ่คงจบลงแล้ว แต่ดูเหมือนการต่อสู้ก็ยังดำเนินต่อไปสินะ"""
ssn_015350_2103#0,"""ฉันคิดว่าจะได้เริ่มโฟกัสกับการหาวัตถุดิบอร่อยๆ ได้จริงๆ จังๆ แล้วซะอีก แต่เรื่องมันคงไม่ได้ง่ายขนาดนั้นสินะ..."""
ssn_015350_2104#0,"""งั้น เอาล่ะ ให้ฉันเล่าเรื่องวัตถุดิบหายากชิ้นต่อไปให้ฟังดีไหม?"""
ssn_015350_2201#0,"""หัวข้อของวันนี้คือ 'Famed Stia Mushroom'"""
ssn_015350_2202#0,"""ได้ยินมาว่าสามารถหาได้ใน Outer Mediola: Sector 1 น่ะ"""
ssn_015350_2203#0,"""แต่มันจะหาได้เฉพาะตอนกลางคืนเท่านั้นนะ จำเอาไว้ด้วยล่ะ"""
ssn_015350_2301#0,"""อ้า ก็สมเหตุสมผลดีที่คุณยังยุ่งอยู่"""
ssn_015350_2302#0,"""ไม่มีปัญหาหรอกนะ คุณรู้ว่าฉันอยู่ไหนหนิ!"""
ssn_015350_2401#0,"""ยูฮู! ดูเหมือนจะไม่มีปัญหาอะไรเลยนะ"""
ssn_015350_2402#0,"""นั่นไง! ไม่ต้องสงสัยเลย นั่นแหละคือ 'Famed Stia Mushroom'"""
ssn_015350_2403#0,"""คุณมีพรสวรรค์เรื่องพวกนี้เหมือนกันนะเนี่ย!"""
ssn_015350_2404#0,"""เอาล่ะ ขอฉันดูใกล้ๆ หน่อยนะ"""
ssn_015350_2405#0,"""...เอ่อ... นี่มัน..."""
ssn_015350_2406#0,"""...ตัวอย่างคุณภาพสูงที่สุดเท่าที่ฉันเคยเห็นมาเลยล่ะ!"""
ssn_015350_2407#0,"""อยากรู้จังว่ารสชาติมันเป็นยังไง"""
ssn_015350_2408#0,"""มันเป็นหนึ่งในสิ่งที่เพื่อนร่วมงานฉันคงจะบอกว่า 'ห้ามกินเด็ดขาด' แน่ๆ"""
ssn_015350_2409#0,"""แต่เอาเถอะ มันเป็นของคุณ จะใช้ยังไงก็ตามใจเลย"""
ssn_015350_2410#0,"""...ส่วนตัวฉัน ฉันคิดว่า... กินมันน่าจะดีกว่านะ"""
ssn_015350_2411#0,"""ยังไงก็เถอะ ขอให้สนุกกับการหาวัตถุดิบหายากอื่นๆ อีกล่ะ!"""
ssn_015350_2501#0,"""ยูฮู! สนุกกับการหาวัตถุดิบหายากไหม?"""
ssn_015350_2502#0,"""ถ้าเกิดฟลุ๊คไปเจอวัตถุดิบหายากที่ฉันยังไม่รู้ ก็รีบมาบอกฉันทันทีเลยนะ!"""
