a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
a5#0,"""Possess a Super Hard License."""
Area0S#0,"""VR Planet Type E"""
Area0L#0,"""VR Planet Type E"""
QuestInfoAreaName#0,"""VR Planet Type E"""
Title#0,"""T:VR Planet Combat Training"""
Explanation#0,"""This is a practical training mission set in a<br>special area within VR Space.<br>By generating an artificial planet designed<br>to be unlike anything you've seen before,<br>we aim to test your ability to adapt to<br>unfamiliar environments.<br>All ARKS are requested to participate.<br>――――――――――――――――――――<br>Collect [704] Quest Points to clear.<br>Quest Points are shared amongst the room."""
NpcComMsg1#0,"""まもなく、訓練を開始します。<br>目標は、出現したエネミーの討伐による<br>クエストポイントの目標値到達です。"""
NpcComMsg2#0,"""訓練となる舞台は<br>アークスが未経験の戦闘環境を想定した<br>仮想惑星となります。"""
NpcComMsg3#0,"""ただ、演算データに基づくものにしては<br>あまりに高い再現度で気になります。<br>気を抜かずに頑張ってください。"""
SimpleExplanation#0,"""Earn Quest Points!"""
