Title#0,"""가상 행성 실전 훈련"""
Explanation#0,"""본 임무는 VR 공간에서 진행하는<br>특수 환경 실전 훈련이다.<br>최신 연산 데이터로 구축된<br>아크스가 경험하지 못한 전투 환경을 가정한<br>가상 행성에서 전투 훈련을 실시한다.<br>아크스 각원은 적극적으로 참가하라.<br>――――――――――――――――――――<br>퀘스트 포인트 【704】 달성 시 클리어<br>룸 내 퀘스트 포인트 공유/있음"""
NpcComMsg1#0,"""곧 훈련을 시작합니다.<br>목표는 출현한 에너미를 토벌해<br>퀘스트 포인트 목표치에 도달하는 것입니다."""
NpcComMsg2#0,"""훈련 무대는<br>아크스가 경험하지 못한 전투 환경을 가정한<br>가상 행성입니다."""
NpcComMsg3#0,"""다만 연산 데이터에 기반했다기에는<br>재현도가 지나치게 높아 신경 쓰입니다.<br>방심하지 말고 힘내 주세요."""
SimpleExplanation#0,"""퀘스트 포인트를 모아라!"""
a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 소지"""
a4#0,"""슈퍼 하드 수주 허가증 소지"""
a5#0,"""슈퍼 하드 수주 허가증 소지"""
Area0S#0,"""가상 행성 Type E"""
Area0L#0,"""가상 행성 Type E"""
QuestInfoAreaName#0,"""가상 행성 Type E"""
