name01#0,"""시민"""
st_053090_0010#0,"""오, 하리엣 님!<br>이런 곳까지 내려오셔도 되는 겁니까?"""
st_053090_0020#0,"""아니, 그러면 안 되지!<br>이제부터는 여왕님이라고 불러야지!"""
st_053090_0030#0,"""아, 맞다!<br>하리엣 님은 여왕님이 되셨지!"""
st_053090_0040#0,"""그러니까……!"""
st_053090_0050#0,"""후후.<br>아직 미숙하고 이제 막 여왕이 됐으니<br>전처럼 하리엣이라 불러도 괜찮아요."""
st_053090_0060#0,"""하리엣 님! 하리엣 님!<br>여왕님이 뭐야?"""
st_053090_0070#0,"""음, 여왕님은 말이지.<br>모두를 대표하는 사람이라고 해야 하나."""
st_053090_0080#0,"""높은 사람이야? 대단한 사람이야?"""
st_053090_0090#0,"""높지도 않고 대단하지도 않아.<br>다른 사람들과 똑같지만 조금<br>눈에 띄는 곳에 있는 정도일까?"""
st_053090_0100#0,"""흐음, 하리엣 님은<br>눈에 띄고 싶어 해?"""
st_053090_0110#0,"""저기…… 응, 눈에 띄고 싶어요!<br>하지만 혼자서는 부끄러우니까<br>모두 응원해 주면 좋겠어요."""
st_053090_0120#0,"""물론이지! 그렇지!"""
st_053090_0130#0,"""응!"""
st_053090_0140#0,"""하리엣 님!"""
st_053090_0150#0,"""하리엣 님!"""
st_053090_0160#0,"""하리엣 님."""
st_053090_0170#0,"""하리엣 님!"""
st_053090_0180#0,"""사람들이 계속 몰려오네요……<br>정말 많은 사랑을 받고 계시잖아요."""
st_053090_0190#0,"""백성에게 사랑받는다……는 것과는<br>조금 다를지도 모릅니다."""
st_053090_0200#0,"""재상 루츠…… 아니, 선왕은<br>나라의 힘을 과시하려고<br>백성에게 무거운 짐을 지웠으니까요……"""
st_053090_0210#0,"""그 왕에게서 벗어났다는 열기와<br>앞으로의 통치에 거는<br>기대가 드러난 것이라고 생각합니다."""
st_053090_0220#0,"""그리고 저는 어릴 때부터 몰래<br>시가지에 자주 나왔기 때문에<br>아는 분이 많습니다."""
st_053090_0230#0,"""나라를 다스리는 사람이 어떤 사람인지 안다는 건<br>백성에게 안심이 되는 일입니다."""
st_053090_0240#0,"""그래서 저희를 지지해 주는 겁니다.<br>저희는 그 믿음에 보답할 의무가 있습니다."""
st_053090_0250#0,"""나라를 되찾은 건 첫걸음일 뿐.<br>백성을 행복하게 하는 건 왕족으로서<br>마땅히 해야 할 일입니다."""
st_053090_0260#0,"""그리고 백성의 믿음에 보답하는 것과 함께<br>반드시 해야 할 일이 있습니다."""
st_053090_0270#0,"""저와 루서의 목적은<br>에피메라를 봉인하는 것이니까요."""
