name01#0,"""쿠엔트 병사"""
name02#0,"""？？？"""
st_053020_0160#0,"""쿠엔트 왕성, 알현실."""
st_053020_0170#0,"""한때 재상이었던 루츠는 왕좌에 앉아<br>짜증스러운 표정으로 부하의 보고를 듣고 있었다."""
st_053020_0180#0,"""……이 꼴은 대체 뭐냐?<br>분명 반란군을 진압하라고 명했을 텐데."""
st_053020_0190#0,"""루서와 하리엣은 아직도 건재하고……<br>그뿐만 아니라 곳곳에 배치한 마신성까지<br>파괴되다니…… 어찌 된 일이냐?"""
st_053020_0200#0,"""마신성은 무적의 요새입니다만<br>그것도 강력한 마신결계가 있기에 가능합니다."""
st_053020_0210#0,"""장벽을 부술 방법이 생겼다면<br>마신성이 파괴될 수도 있습니다……"""
st_053020_0220#0,"""그래서 어쩌겠다는 건지 묻고 있다!"""
st_053020_0230#0,"""……진정하십시오, 숙부님."""
st_053020_0240#0,"""이 상황에서 어떻게 진정하란 말이냐!<br>마신성이 무너지고 있단 말이다……!"""
st_053020_0250#0,"""하리엣 공주 일행은<br>마신성을 파괴할 힘을 지녔고<br>수호휘사라 불리는 존재와 함께합니다."""
st_053020_0260#0,"""게다가 저쪽에는 왕의 직계 혈족이 둘입니다.<br>나라의 실권은 숙부님에게 있다고 해도<br>누가 봐도 명분은 저쪽에 있습니다."""
st_053020_0270#0,"""아리사…… 대체 어느 쪽 편이냐?"""
st_053020_0280#0,"""저는 검의 무녀로서<br>있는 그대로의 사실을 말씀드렸을 뿐입니다."""
st_053020_0290#0,"""나라와 백성을 생각하신다면<br>싸움을 멈추고 손을 잡는 것이 가장 낫습니다."""
st_053020_0300#0,"""안 된다!<br>나라를 무너뜨리려 한<br>왕의 직계 혈족과 손잡을 수는 없다!"""
st_053020_0310#0,"""숙부님……<br>선왕께서는 정말 나라를<br>무너뜨리려 하셨던 걸까요?"""
st_053020_0320#0,"""이제 와서 무슨 소리냐!<br>마신성과 에피메라는 이 세상에서<br>나라를 지키는 데 반드시 필요하다!"""
st_053020_0330#0,"""그것들을 버리면 나라가 무너진다!<br>나라가 무너지면 곧 역사도 사라진다!"""
st_053020_0340#0,"""지금까지 지켜 온 전설도 그 검도<br>모두 사라지고 말 거다!<br>……그렇지 않느냐, 검의 무녀 아리사!"""
st_053020_0350#0,"""……네."""
st_053020_0360#0,"""마신성의 힘이 없으면 이 세계에서<br>나라를 유지할 수 없다……<br>숙부님의 말씀에도 일리가 있어."""
st_053020_0370#0,"""하지만 그 사실을 뒤집으면서까지<br>마신성을 버리고 서둘러 에피메라를<br>없애려 했던 이유는……?"""
st_053020_0380#0,"""……직접 물어볼 수밖에 없어."""
