name01#0,"""풍채 좋은 남성"""
name02#0,"""차분한 여성"""
name03#0,"""젊은 여성"""
name04#0,"""？？？"""
st_052090_0010#0,"""「만나 주셨으면 하는 분이 있습니다」<br><%me> 앞에서 그렇게 말한 하리엣이<br>안내한 곳은 쿠엔트 남부의 도시였다."""
st_052090_0020#0,"""변방이라기보다 외딴곳이라 부를 만한<br>왕도에서 멀리 떨어진 도시 중 하나.<br>전쟁의 기척조차 없는 작은 마을이었다."""
st_052090_0030#0,"""오! 하리엣 님!<br>돌아오셨군요!"""
st_052090_0040#0,"""습격을 받으셨다고 들어서<br>모두 걱정하고 있었습니다……<br>무사하셔서 정말 다행입니다."""
st_052090_0050#0,"""하리엣 님, 피곤하시겠어요.<br>곧 방을 준비하겠습니다.<br>바루나 님과 동행하신 분도 어서 오세요."""
st_052090_0060#0,"""모두의 걱정에 감사드립니다.<br>하지만 저는 괜찮습니다.<br>여러분 덕분에 이렇게 멀쩡합니다."""
st_052090_0070#0,"""저는 손님을 안내해야 합니다.<br>신경 쓰지 말고 각자 맡은 일에 힘써 주세요."""
st_052090_0080#0,"""소란스러워서 죄송합니다.<br>이곳이 저희 쿠엔트 혁명군의<br>본거지입니다."""
st_052090_0090#0,"""혁명군이라고 하기에는<br>사람이 꽤 많네요."""
st_052090_0100#0,"""모두 지금 왕을 자처하는<br>재상 루츠의 강압적인 통치를<br>견디지 못한 분들입니다."""
st_052090_0110#0,"""재상 루츠가 가장 중요하게 여기는 건<br>에피메라를 거두고 그것을 이용해<br>마신성을 소환하는 일이야."""
st_052090_0120#0,"""백성이 살고 있든 말든<br>마신성을 잇달아 소환하고 있어.<br>……제정신이 아니야."""
st_052090_0130#0,"""지나친 기술은 스스로를 망치는 법입니다.<br>……에피메라도 분명<br>그런 종류의 것이겠지요."""
st_052090_0140#0,"""<%me> 님.<br>만나 주셨으면 하는 분은<br>이 안에 있습니다."""
st_052090_0150#0,"""들어갈게요."""
st_052090_0160#0,"""……이런, 노크했다고 해서<br>마음대로 들어와도 되는 건 아니야.<br>대답을 기다리지 않으면 의미가 없잖아."""
st_052090_0170#0,"""오라버니의 대답을 기다리다가는<br>날이 다 저물고 말아요."""
st_052090_0180#0,"""후후, 그건 대체<br>며칠 뒤의 해 질 무렵일까."""
st_052090_0190#0,"""……!?<br>이, 이 목소리는……!"""
st_052090_0200#0,"""어라, 손님인가?<br>그렇다면 이제 우리도<br>죗값을 치를 때가 된 걸까?"""
st_052090_0210#0,"""어째서……<br>여기에 있는 거죠……!"""
st_052090_0220#0,"""루서!?"""
