un_051030_0001#0,"""A.P.???/?/??/10:00"""
un_051030_0010#0,"""That reminds me...<br>I forgot to ask."""
un_051030_0020#0,"""Xiao...<br>You've grown?"""
un_051030_0030#0,"""Oh, you've noticed. I was a<br>little worried since no one<br>asked me about it."""
un_051030_0040#0,"""I thought that if I were to show<br>that I was properly growing, I could<br>understand everyone's state of mind.<br>So I decided to grow according to<br>my age."""
un_051030_0050#0,"""By the way, when he created us<br>two years ago, he was already in<br>this form. I have no idea how Xiao<br>looked in his child form."""
un_051030_0060#0,"""Hmmm... Xiao's child form.<br>Sounds like he had a very<br>cheeky appearance, no?"""
un_051030_0070#0,"""If I had looked cheeky, then it<br>was probably due to the link I had. """
un_051030_0080#0,"""Really? How so?"""
un_051030_0090#0,"""Xiao was linked to Sara.<br>So let's see..."""
un_051030_0100#0,"""It might have been the link."""
un_051030_0110#0,"""Xiao's just cheeky."""
un_051030_0120#0,"""Hey, try to sugarcoat it a little!"""
un_051030_0130#0,"""That was a very direct comment,<br>but I won't deny it."""
un_051030_0140#0,"""My personality was created based on<br>Sara's. Even now, I'm still<br>influenced by Sara's personality."""
un_051030_0150#0,"""Aside from that, if I'm awfully frank,<br>it's also because of Sara."""
un_051030_0160#0,"""But if he's influenced by the<br>link, does that mean Xiao's taken<br>a liking to it?"""
un_051030_0170#0,"""No comment.<br>You're free to think whatever<br>you wish."""
un_051030_0180#0,"""Well, the best thing about growing<br>up is being able to pat Sara's head."""
un_051030_0190#0,"""Sara doesn't like it too much,<br>but I think it's fun."""
