st_053060_0430#0,"""어땠나요, 바루나.<br>루츠의 모습은……"""
st_053060_0440#0,"""……확인하지 못했습니다.<br>무너진 성에 휘말렸다고 봐도<br>틀림없을 겁니다."""
st_053060_0450#0,"""그렇군요……"""
st_053060_0460#0,"""아리사 님……"""
st_053060_0470#0,"""……괜찮습니다. 각오는 하고 있었습니다.<br>마지막 모습을 보아도 숙부님이<br>제정신이 아니었다는 건 분명합니다."""
st_053060_0480#0,"""……정말 단순히 미쳐 날뛴 걸까?"""
st_053060_0490#0,"""네……?"""
st_053060_0500#0,"""더 거대한 의지에<br>조종당하는 것처럼도 보였어.<br>적어도 내 눈에는 말이야."""
st_053060_0510#0,"""거대한 의지라니……<br>무슨 뜻인가요, 오라버니?"""
st_053060_0520#0,"""……아직은 모르겠어.<br>하지만 그 정도로 큰일이 아니라면<br>구세주가 나타날 리 없잖아."""
st_053060_0530#0,"""이건 이 나라만의 문제가 아니야.<br>세계를 휘말리게 할 재앙의 시작이지.<br>……그렇지, 수호휘사?"""
