Npc_7001001#0,"""마논"""
Npc_7002001#0,"""아이나"""
Npc_7002002#0,"""아이나"""
Npc_7003001#0,"""가로아"""
Npc_7004001#0,"""크로포드"""
Npc_7005001#0,"""브루더"""
Npc_7006001#0,"""란"""
Npc_7007001#0,"""류린"""
Npc_7008001#0,"""롯사"""
Npc_7009001#0,"""오란제"""
Npc_7010001#0,"""나데레프"""
Npc_7011001#0,"""타이바스"""
Npc_7011002#0,"""？？？"""
Npc_7011004#0,"""？？？"""
Npc_7012001#0,"""툴리"""
Npc_7012002#0,"""？？？"""
Npc_7012004#0,"""？？？"""
Npc_7013001#0,"""이루마"""
Npc_7014001#0,"""쿠카"""
Npc_7015001#0,"""메리"""
Npc_7016001#0,"""그렌"""
Npc_7017001#0,"""하디"""
Npc_7018001#0,"""쟈릴"""
Npc_7019001#0,"""모프센"""
Npc_7020001#0,"""무우라"""
Npc_7021001#0,"""릿스"""
Npc_7022001#0,"""카누이"""
Npc_7023001#0,"""노로시"""
Npc_7025001#0,"""제페토"""
Npc_7026001#0,"""파리아"""
Npc_7030001#0,"""쿠이라"""
Npc_7031001#0,"""기니"""
Npc_7032001#0,"""파페"""
Npc_7033001#0,"""ヴェルトロ"""
Npc_7195001#0,"""스로나"""
Npc_7196001#0,"""다츄아"""
Npc_7197001#0,"""샨 레이"""
Npc_7198001#0,"""홀로맨"""
Npc_7199001#0,"""구이덴"""
Npc_7200001#0,"""카르테뷔에"""
Npc_7201001#0,"""소뮤아"""
Npc_7203001#0,"""프랑메"""
Npc_7205001#0,"""라보나"""
Npc_7206001#0,"""미이샤"""
Npc_7207001#0,"""유티로이"""
Npc_7208001#0,"""크로셰"""
Npc_7209001#0,"""에테르나"""
Npc_7210001#0,"""트래비스"""
Npc_7211001#0,"""섄디"""
Npc_7212001#0,"""크레이톤"""
Npc_7213001#0,"""글라이프"""
Npc_7214001#0,"""라피카"""
Npc_7215001#0,"""카타리나"""
Npc_7216001#0,"""우르건"""
Npc_7217001#0,"""알시오네"""
Npc_7218001#0,"""사엣타"""
Npc_7220001#0,"""￥소닉"""
Npc_7221001#0,"""￥테일스"""
Npc_7222001#0,"""￥에이미"""
Npc_7223001#0,"""￥에그맨"""
Npc_7224001#0,"""시트레"""
Npc_7227001#0,"""간즈백"""
Npc_7228001#0,"""버트램"""
Npc_7229001#0,"""스타전"""
Npc_7230001#0,"""헤밀턴"""
Npc_7231001#0,"""무어"""
Npc_7232001#0,"""네빌"""
Npc_7233001#0,"""올디스"""
Npc_7234001#0,"""패피 랍피"""
Npc_7235001#0,"""실카"""
Npc_7236001#0,"""팀"""
Npc_7237001#0,"""레소"""
Npc_7245001#0,"""셰미"""
Npc_7246001#0,"""노조미"""
Npc_7247001#0,"""미즈호"""
Npc_7248001#0,"""나스노"""
Npc_7249001#0,"""아사마"""
Npc_7250001#0,"""코마치"""
Npc_7251001#0,"""사쿠라"""
Npc_7252001#0,"""츠바사"""
Npc_7258001#0,"""아쳬"""
Npc_7400001#0,"""듀아드라"""
Npc_7401001#0,"""스피더"""
Npc_7402001#0,"""웰미나"""
Npc_7403001#0,"""리디아"""
Npc_7404001#0,"""부르간스"""
Npc_7405001#0,"""슈라프트"""
Npc_7406001#0,"""슬레인"""
Npc_7417001#0,"""디그홀"""
Npc_7418001#0,"""베르크만"""
Npc_7419001#0,"""보노"""
Npc_7420001#0,"""험프덴"""
Npc_7421001#0,"""아리에테"""
Npc_7422001#0,"""다나"""
Npc_7423001#0,"""버핀"""
Npc_7424001#0,"""리아메이"""
Npc_7425001#0,"""로날딘"""
Npc_7426001#0,"""시라세"""
Npc_7427001#0,"""코르테스"""
Npc_7428001#0,"""유리"""
Npc_7429001#0,"""크리스토발"""
Npc_7430001#0,"""잉스타드"""
Npc_7431001#0,"""바스코"""
Npc_7432001#0,"""로알"""
Npc_7433001#0,"""드레이크"""
Npc_7434001#0,"""슈프란"""
Npc_7435001#0,"""마미야"""
Npc_7436001#0,"""홀사"""
Npc_7437001#0,"""알바로"""
Npc_7438001#0,"""비엔느"""
Npc_7439001#0,"""아카츠키"""
Npc_7440001#0,"""하츠카리"""
Npc_7441001#0,"""시라유키"""
Npc_7442001#0,"""치토세"""
Npc_7443001#0,"""마리모"""
Npc_7444001#0,"""키리시마"""
Npc_7445001#0,"""아난"""
Npc_7446001#0,"""소우야"""
Npc_7447001#0,"""호쿠토"""
Npc_7448001#0,"""카츠라기"""
Npc_7449001#0,"""시오지"""
Npc_7450001#0,"""유노카"""
Npc_7602001#0,"""베리"""
Npc_7604001#0,"""아구리"""
Npc_7605001#0,"""이지"""
Npc_7606001#0,"""달리"""
