un_057020_0010#0,"""Oh, dos guardianes.<br>¿Que estan haciendo por aqui?"""
un_057020_0020#0,"""Oh, Maria<br>Hola."""
un_057020_0030#0,"""Bueno, son buenos y educados.<br>Me gustaría enseñar eso a los idiotas<br>que no son corteses en la escuela de formación."""
un_057020_0040#0,"""Bueno, aunque yo y REGIAS fueran los que<br>enseñaran, las segundas notas de etiqueta seria lo ultimo<br>que enseñaría, ¡Ja ja ja!"""
un_057020_0050#0,"""María es la comandante del departamento de asuntos<br>generales, ¿No es así?, ¿Por qué quieres ayudar<br>con el departamento de enseñanza?"""
un_057020_0060#0,"""¿Uhm?<br>Por que me parece interezante."""
un_057020_0070#0,"""Originalmente, Regias rechazó ser el comandante del Departamento de Asuntos Generales y<br>presionó porpara que fuera yo, aun así no me quejaré sobre cómo es el departamento."""
un_057020_0080#0,"""Bueno, si no hay un comandante, creo que el departamento de asuntos generales estaría en problemas..."""
un_057020_0090#0,"""Sería perturbador si ustedes me tuvieran cerca,<br>Aun así Matoi, ustedes están ayudando de vez en cuando, ¿Verdad?"""
un_057020_0100#0,"""Supongo que estoy ayudando...<br>Un poco forzadamente..."""
un_057020_0110#0,"""¿Quieres decir que piensas retirarte?"""
un_057020_0120#0,"""¿Matoi empiezas a cansarte de ayudar?"""
un_057020_0130#0,"""No pienso dejar mi cargo<br>a alguien inadecuado."""
un_057020_0140#0,"""¡¿Qué?!, ¡Claro que no!...<br>¡Oh no, no!<br>¡No tal cosa!"""
un_057020_0150#0,"""Uhm.<br>Creo que eso no encaja mucho con ella."""
un_057020_0160#0,"""Además, me gustaría quejarme con Sara.<br>Debes en cuando."""
un_057020_0170#0,"""Creo que puedo hacerlo si se trata de esa chica."""
un_057020_0180#0,"""Tanto yo como Regius necesitabamos retirarnos de la línea del frente hace mucho tiempo.<br>Llego el momento de renunciar al mando."""
un_057020_0190#0,"""Además, en mi caso, somos recolectores que damos nuestros cuerpos a la batalla.<br>No importa cuando me vaya."""
un_057020_0200#0,"""Para cuando eso suceda, estoy trabajando desde ahora para que no se produzcan confusiones en la línea de mando."""
un_057020_0210#0,"""No sé cómo es el departamento de información, pero el departamento de enseñanza está haciendo el trabajo de oficina y la señora que está al lado del Zeno-bu está haciendo el trabajo de oficina."""
un_057020_0220#0,"""Bueno, una vez que lo digas,<br>será solo pasar a la siguiente generación."""
un_057020_0230#0,"""Solo quiero saltar diciendo cosas plausibles."""
un_057020_0240#0,"""Oh, Sara."""
un_057020_0250#0,"""Oh oh, ¿Crees que la segunda entiende el pensamiento gratificante del Departamento de Asuntos Generales, que mira hacia el futuro?"""
un_057020_0260#0,"""Hablas de mirar al futuro<br>Justo despues de decir que quieres retirarte."""
un_057020_0270#0,"""...No es un futuro tan lejano.<br>Para ser honesta, yo y Regius<br>Está demasiado tiempo en la línea del frente."""
un_057020_0280#0,"""¿Eh?..."""
un_057020_0290#0,"""Oh que pasa<br>Pones una cara triste, ¿Cierto?<br>¿No quieres que me retire?"""
un_057020_0300#0,"""¡Im!... ¡Imposible!<br>Si te vas a jubilar, ¡Hazlo rapido!.<br>¡Disfruta tu vida, tonta, María!"""
un_057020_0310#0,"""Haha, palabras complicadas"""
un_057020_0320#0,"""Maria, Jubilarse..."""
un_057020_0330#0,"""¿Uhm?<br>tranquila, todavía falta tiempo."""
un_057020_0340#0,"""Sin embargo, es un hecho de que este es un buen año.<br>En un futuro no muy lejos, yo y Regius estarremos lejos de los ARKS."""
un_057020_0350#0,"""Incluso llegado ese momento, ARKS construirá piedra a piedra una estructura que no se sacudirá.<br>Ese sera el trabajo de Regius y mio."""
un_057020_0360#0,"""Protejamos a la organización llamada ARKS.<br>Protejamos el lugar a donde todos llamamos hogar..."""
un_057020_0370#0,"""No quisiera mas problemas, pero...<br>...Es una promesa con Alma."""
un_057020_0380#0,"""Una promesa con Alma..."""
un_057020_0390#0,"""Bueno, te conté algo aburrido.<br>No puedo permitirme nada como eso.<br>Olvidalo."""
un_057020_0400#0,"""Bueno<br>tendre que ir a la conferencia de mando y lo hare de forma rapida.<br>Pues bueno, ustedes dos."""
name01#0,"""？？？"""
name02#0,"""？？？"""
