Title_Yellow#0,"""【옐로 포탈 : $(0)】"""
Title_Purple#0,"""【퍼플 포탈 : $(0)】"""
Title_Purple_Starless#0,"""【パープルポータル：エアリオEX】"""
DirectionTitle#0,"""【$(0)】"""
Battledia#0,"""배틀디아"""
Title_Blue#0,"""【블루 포탈 : 베리어블】"""
Title#0,"""트레이니아 코쿤"""
DirectionTitle#1,"""【$(0)】"""
BrokenAllBarrierPod#0,"""컨테이너의 보호가 해제되었습니다."""
LestBarrierPodNum#0,"""배리어 포드 앞으로 $(0)기 남음."""
BarrierActive#0,"""컨테이너 주위에 배리어 포드가 펼쳐졌습니다."""
Title#1,"""류커 디바이스"""
DirectionTitle#2,"""【$(0)】"""
GetItem#0,"""메시지 팩에서 아이템을 얻었습니다."""
Title#2,"""리전 마그"""
DirectionTitle#3,"""【$(0)】"""
Title#3,"""트레이니아 타워"""
DirectionTitle#4,"""【$(0)】"""
TookThis#0,"""포톤 블래스트가 충전되었습니다."""
Title#4,"""트레니테스"""
DirectionTitle#5,"""【$(0)】"""
VehicleStand_Unusable#0,"""사용 횟수를 초과했습니다."""
VehicleStand_Confirmation#0,"""퀘스트 중 한 번만 특수 병장을 사용할 수 있습니다.<br><br>사용 하시겠습니까?"""
VehicleStand_ConfirmationCount#0,"""퀘스트 중 $(0) 번만 특수 병장을 사용할 수 있습니다.<br><br>사용 하시겠습니까?"""
Title#5,"""트레이니아 어드밴스"""
1310000#0,"""캐논볼 스트라이크"""
1310010#0,"""캐논볼 럼블"""
1190000#0,"""오디널 타워"""
Title#6,"""디멘션 폴트"""
1180380#0,"""리템 폴트"""
