choice01#0,"""Sobre [Hero]"""
choice02#0,"""Sobre la [Espada de Hero]"""
choice03#0,"""Sobre la [T Machine Gun de Hero]"""
choice04#0,"""Sobre la [Talis de Hero]"""
choice05#0,"""Hero Gear/Hero Time"""
choice06#0,"""[Cambio de armas con PAs]"""
choice_end#0,"""Dejar"""
Title#0,"""Sobre [Hero]"""
text0001#0,"""Hero es una clase que se especializa en la<br>batalla contra múltiples enemigos.<br><br>Las armas que se pueden equipar son<br>[Espada], [T Machine Gun] y [Talis].<br>Es posible usar diferentes acciones.<br><c ffff 00>[Espada]<c><br>Ataque de rango medio y ataque rápido y [balas]<br><c ffff 00>[T Machine Gun]<c><br>Ataque de largo alcance y recuperación de<br>PP mediante [Recarga]<br><c ffff00>[Talis]<c><br>Movimiento de alta velocidad mediante la<br>adición de PA y [marcado]"""
text0002#0,"""Para reclamar la clase Hero, es necesario<br>completar ciertas ordenes de cliente.<br><br>Es necesario presentar un título que se<br>puede obtener mediante el establecimiento de una de las clases<br>pertenecientes a la clase de batalla Fisico/Rango/Tecnicas a lv.75.<br><br><c ffff00>Clases de Fisico<c><br>Hunter・Fighter・Bouncer<br><c ffff00>Clases de Rango<c><br>Ranger・Gunner・Braver<br><c ffff00>Clase de Tecnicas<c><br>Force・Teacher・Summoner"""
text0003#0,"""Debido a que Hero es [Clases avanzada],<br>existen diferencias con respecto a las clases hasta ahora.<br><br>· No se puede establecer una subclase<br><br>· Alguna potencia, efectos de anillos de habilidad no son válidos<br>(Ejemplo: Spirit of warfare, R / Attack Advance, etc.)<br><br>· Compañeros de soporte<br>La clase no se puede cambiar a Hero"""
Title#1,"""Sobre la [Espada de Hero]"""
text0001#1,"""La Espada en Hero se caracteriza por un amplio rango<br>de ataque y velocidad de ataque rápida.<br><br>En el PA de la Espada de Hero, hay cosas que agregan<br>acciones adicionales al mantener presionado el botón de<br>PA durante un tiempo prolongado y las que pueden cargar<br>Puedes cambiar a otras armas de héroe mediante el<br>cambio automático de equipo."""
text0002#1,"""[Hero Sword] es una acción de arma, es posible atacar<br>desde la distancia media con balas de energia<br><br>Puedes cargar presionando prolongadamente el botón<br>de acción del arma al soltar [Air Bomb], y puedes soltar<br>una [Bala] más poderosa."""
Title#2,"""Sobre la [T Machine Gun de Hero]"""
text0001#2,"""Puede llevar a cabo un ataque fuerte a distancia con<br>un alcance largo y un rendimiento de disparo superior a la<br>T Machine Gun tradicional.<br><br>En el PA de la Hero TMG, hay una habilidad que<br>realiza un cambio automático de equipo a otra arma de<br>héroe presionando el botón PA por un tiempo prolongado."""
text0002#2,"""Las T Machine Gun tambien consumen PP<br>con ataques basicos.<br><br>Usar la acción de arma [Recargar] recuperara PP.<br><br>Puede continuar recargando mientras se presiona el<br>botón de acción del arma.<br><br>Además, si recarga en tiempo en [JA], se producirá<br>una mejor recarga y con mas velocidad de recuperación<br>de PP aumentará."""
text0003#1,"""ヒーローＴマシンガンを装備中の<br>ＰＰ回復・ＰＰ消費系潜在能力の効果に<br>ついて説明します。<br><br>ＰＰ自然回復系の潜在能力は<br>納刀状態とリロードアクション中に<br>効果が発動します。<br><br>ＰＰ消費系の潜在能力は<br>通常攻撃中にも効果が発動します。"""
Title#3,"""Sobre la [Talis de Hero]"""
text0001#3,"""La Talis del Hero puede usar un PA, que no pueden<br>usarse en las Talis convencionales, y puede realizar<br>una variedad de ataques que combinan Talis, PA y técnica.<br><br>En el PA del Talis de Hero, hay una habilidad que cambia<br>automáticamente a otras armas de Hero presionando el<br>botón PA por un periodo de tiempo<br><red>(Rojo a Espada)<c><blue>(Azul a T.M.G).<c>"""
text0002#3,"""Mientras sostiene Hero Talis, puede usar el marcado<br>en el lugar de destino presionando y manteniendo<br>presionado el botón de acción del arma durante<br>un tiempo prolongado.<br><br>Cuando se muestre nuevamente esta marca,<br>al presionar el botón de acción del arma se puede<br>mover rápidamente a la posición marcada."""
Title#4,"""Hero Gear/Hero Time"""
text0001#4,"""Hero Time, que es Gear del Hero. Al dominar la habilidad<br>Hero Gear/Hero Time, se agregan los Gear comunes<br>a las armas de Hero.<br><br>Los Gear aumentan al atacar a los enemigos.<br>Si se continúa con el mismo ataque, el incremento<br>del Gear disminuye pero vuelve al original<br>debido al paso del tiempo.<br><br>Cuando el indicador del Gear se acumula al máximo,<br>puede activar Hero Time. Durante el Hero Time, el Gear<br>disminuye y el poder de ataque aumenta lo suficiente<br>como para golpear al enemigo."""
text0002#4,"""Hero time Finish utiliza la técnica de acabado<br>activando la habilidad nuevamente durante<br>el Hero Time.<br><br>Se aplica el efecto de aumento de potencia<br>de ataque durante el tiempo del Hero,<br>pero el Hero Time finaliza cuando<br>se activa la técnica de finalización.<br>Vamos a determinar el tiempo para usar.<br><br>Hero Espada, Hero T.M.G, Hero Talis<br>Se activarán 3 tipos diferentes de<br>técnicas de acabado."""
Title#5,"""[Cambio de armas con PAs]"""
text0001#5,"""El tipo de arma de Hero tiene un<br>arma que cambia de PA para otros tipos de arma.<br><br>La PA de conmutación de armas está preparada<br>para cada tipo de arma y se puede cambiar<br>a diferentes tipos de arma.<br><br>El cambio de armas se realiza presionando<br>prolongadamente el botón cuando se usa PA.<br>Si lo presiona brevemente, puede usarlo<br>sin cambiar el arma como PA normal."""
text0002#5,"""Cambio de armas de armas con PA<br>Cuando las paletas de armas tienen múltiples tipos<br>de armas para cambiar, los tipos de armas con el<br>número de paleta más cercano en orden ascendente<br>estarán sujetos a cambios.<br><br>(En la figura Hero Talis<br>A la TMG<br>Usando el cambio de arma PA<br><c ffff00> El número de paleta más cercano en orden ascendente<c><br>A la TMG<br>El tipo de arma está activada)"""
