ob_ep01_hv_mango#0,"""소테 핏치"""
ob_ep01_hv_banana#0,"""소테 바난"""
ob_ep01_hv_apple#0,"""소테 앗포우"""
ob_ep01_hv_pear#0,"""소텟 낫시"""
ob_5000_0388#0,"""레스타 사인"""
ob_5000_0470#0,"""리버서 사인"""
ob_5000_0601#0,"""모노타이트"""
ob_5000_0603#0,"""듀아로마이트"""
ob_5000_0605#0,"""ソッドサザイエ"""
ob_5000_0819#0,"""ソッドアザーリ"""
ob_5000_0820#0,"""ソウカブラナ"""
ob_5000_0821#0,"""ソウマシュル"""
ob_5000_0862#0,"""ソッドクラーブ"""
ob_5000_0889#0,"""ソッドローブス"""
ob_5000_0972#0,"""ソウハーヴ"""
ob_5000_0973#0,"""ソウトマーテ"""
ob_5000_0967#0,"""포톤 청크"""
ob_5000_0968#0,"""트라이나이트"""
ob_5000_0969#0,"""포톤 쿼츠"""
ob_9990_0010#0,"""수송 트럭"""
ob_9990_0017#0,"""아이템 컨테이너 [흑]"""
ob_9990_0017_Setter#0,"""아이템 컨테이너 [흑]"""
ob_9990_0018#0,"""아이템 컨테이너 [녹]"""
ob_9990_0018_Setter#0,"""아이템 컨테이너 [녹]"""
ob_9990_0021#0,"""아이템 컨테이너 [금]"""
ob_9990_0024_111020001#0,"""상승의 리전 마그"""
ob_9990_0024_111090001#0,"""숙달의 리전 마그"""
ob_9990_0024_111060001#0,"""천금의 리전 마그"""
ob_9990_0025#0,"""훈련 표적"""
ob_9990_0025_0001#0,"""훈련 표적"""
ob_9990_0025_0002#0,"""훈련 표적"""
ob_9990_0025_0003#0,"""훈련 표적"""
ob_9990_0025_0004#0,"""훈련 표적"""
ob_9990_0026#0,"""훈련 표적"""
ob_9990_0026_0001#0,"""훈련 표적"""
ob_9990_0026_0002#0,"""훈련 표적"""
ob_9990_0026_0003#0,"""훈련 표적"""
ob_9990_0026_0004#0,"""훈련 표적"""
ob_9990_0038#0,"""아이템 컨테이너 [적]"""
ob_9990_0053#0,"""배리어 포드"""
ob_9990_0035#0,"""돌즈 관제기"""
ob_9990_0040#0,"""비하이브"""
ob_9990_0050#0,"""텐달"""
