Active#0,"""【PSE】$(0) Lv$(1)"""
Fever#0,"""【PSE】$(0) Lv8"""
CrossFever#0,"""【PSE】$(0) Lv8"""
AreaChangeTitle#0,"""<pict $(0)>$(1)【전조】"""
atp_strike#0,"""타격력 UP"""
atp_firearm#0,"""사격력 UP"""
atp_technic#0,"""법격력 UP"""
meseta_drop#0,"""메세타 증가"""
pp_consumption#0,"""PP 소비량 감소"""
experience#0,"""경험치 증가"""
rare_enemy#0,"""레어 에너미 출현률 UP"""
boost_enemy#0,"""부스트 에너미 출현 UP"""
photon_blast#0,"""블래스트 게이지 상승률 UP"""
critical_up#0,"""크리티컬률 UP"""
atkup_fire#0,"""플레임 부스트"""
atkup_ice#0,"""아이스 부스트"""
atkup_thunder#0,"""썬더 부스트"""
atkup_wind#0,"""윈드 부스트"""
atkup_light#0,"""라이트 부스트"""
atkup_dark#0,"""다크 부스트"""
dropup_fire#0,"""플레임 보너스"""
dropup_ice#0,"""아이스 보너스"""
dropup_thunder#0,"""썬더 보너스"""
dropup_wind#0,"""윈드 보너스"""
dropup_light#0,"""라이트 보너스"""
dropup_dark#0,"""다크 보너스"""
add_element#0,"""PSE023"""
justatk_up#0,"""저스트 부스트"""
weakhit_up#0,"""위크 부스트"""
pp_recover#0,"""PP 회복 UP"""
zerorange_up#0,"""제로레인지 부스트"""
rare_incident#0,"""레어 트라이얼 부스트"""
attack#0,"""공격력 UP"""
compound1#0,"""멀티 부스트"""
costume#0,"""코스튬 보너스"""
ta_justattack#0,"""테크 아츠 JA 부스트"""
damage_cut#0,"""데미지 컷"""
compound1_general#0,"""멀티 부스트"""
mack_buff1#0,"""공격력 특대 UP"""
mack_buff2#0,"""サバイバル用仮２"""
mack_buff3#0,"""サバイバル用仮３"""
compound1#1,"""멀티 부스트：공격력 UP・제로레인지 부스트・PP 회복 UP"""
compound1_general#1,"""멀티 부스트：공격력 UP・제로레인지 부스트・PP회복 UP"""
