OpenSpace#0,"""광장 부근"""
WeaponShop#0,"""무기 샵"""
ShieldShop#0,"""방어구 샵"""
ToolShop#0,"""도구 샵"""
ClothesShop#0,"""코스튬 샵"""
RightStairs#0,"""오른쪽 계단"""
LeftStairs#0,"""왼쪽 계단"""
MyRoom#0,"""마이 룸"""
Park#0,"""공원"""
Lab#0,"""랩"""
QuestCounter#0,"""퀘스트 카운터"""
MainStage#0,"""메인 스테이지"""
StageSquare#0,"""스테이지 앞 광장"""
WestBalcony#0,"""서쪽 발코니"""
EastBalcony#0,"""동쪽 발코니"""
FountainSquare#0,"""서쪽 휴게 광장"""
CafeLounge#0,"""동쪽 휴게 광장"""
WestSidePassage#0,"""서쪽 바깥 통로"""
SouthSidePassage#0,"""남쪽 바깥 통로"""
EastSidePassage#0,"""동쪽 바깥 통로"""
MonumentSquare#0,"""모뉴먼트 앞"""
WestShopSquare#0,"""서쪽 샵 광장"""
EastShopSquare#0,"""동쪽 샵 광장"""
StairSquare#0,"""계단 앞 광장"""
WestSideLounge#0,"""서쪽 라운지"""
EastSideLounge#0,"""동쪽 라운지"""
2FWestLounge#0,"""2층 서쪽 라운지"""
ItemLab#0,"""아이템 랩 앞"""
2FEastLounge#0,"""2층 동쪽 라운지"""
3FWestPassage#0,"""3층 서쪽 엘레베이터 앞 통로"""
3FEastPassage#0,"""3층 동쪽 엘레베이터 앞 통로"""
3FLounge#0,"""3층 엘레베이터 앞라운지"""
AirLounge#0,"""3층 공중 광장"""
GateSquare#0,"""게이트 앞 광장"""
EastQuestCounter#0,"""동쪽 퀘스트 카운터 앞"""
WestQuestCounter#0,"""서쪽 퀘스트 카운터 앞"""
EVSquare#0,"""엘레베이터 앞 광장"""
CentralLobby#0,"""중앙 로비"""
MedicalCenter#0,"""메디컬 센터"""
ArksCounter#0,"""아크스 카운터"""
EastStair#0,"""동쪽 계단"""
WestStair#0,"""서쪽 계단"""
2FEastWaitingArea#0,"""2층 동쪽 대기실"""
2FWestWaitingArea#0,"""3층 서쪽 대기실"""
0#0,"""일반"""
1#0,"""맑음"""
2#0,"""흐림"""
3#0,"""호우"""
4#0,"""뇌우"""
5#0,"""짙은 안개"""
6#0,"""분출 가스"""
7#0,"""불똥"""
8#0,"""열파"""
9#0,"""광충"""
10#0,"""무지개"""
11#0,"""모래 먼지"""
12#0,"""강풍"""
13#0,"""정전"""
14#0,"""비상등"""
15#0,"""weather015"""
16#0,"""weather016"""
17#0,"""자기 폭풍"""
18#0,"""유성"""
19#0,"""weather019"""
20#0,"""weather020"""
21#0,"""다이아몬드 더스트"""
22#0,"""오로라"""
23#0,"""방전 현상"""
24#0,"""분진 광석"""
25#0,"""나비의 춤"""
26#0,"""weather026"""
27#0,"""weather027"""
28#0,"""weather028"""
29#0,"""weather029"""
30#0,"""일식"""
39#0,"""검은 입자"""
40#0,"""무지개 빛"""
41#0,"""weather041"""
42#0,"""weather042"""
43#0,"""weather043"""
44#0,"""적뢰운"""
45#0,"""용혼의 안개"""
46#0,"""weather046"""
47#0,"""weather047"""
48#0,"""weather048"""
49#0,"""호우"""
50#0,"""낙류"""
55#0,"""붉은 먼지"""
59#0,"""임화광"""
60#0,"""딥 스노우"""
61#0,"""맑음"""
62#0,"""접무"""
63#0,"""바람춤"""
64#0,"""꽃의 춤"""
65#0,"""글의 춤"""
66#0,"""맑음"""
67#0,"""역운"""
68#0,"""날씨 비"""
69#0,"""윤홍"""
70#0,"""벽운"""
81#0,"""맑음"""
82#0,"""흐린 날씨"""
83#0,"""단풍의 춤"""
84#0,"""도깨비 불의 춤"""
85#0,"""재앙을 부르는 글의 춤"""
86#0,"""맑음"""
87#0,"""흐림"""
88#0,"""호우"""
89#0,"""돌풍"""
90#0,"""프리즘 스노우"""
Accept#0,"""「$(0)」 $(1)를 수주했습니다."""
AcceptMatterOrder#0,"""수색 대상인 마타 보드를 변경 마타의 가이드 표시를 시작합니다."""
ChangeMatterOrder#0,"""마타의 가이드 표시를 시작합니다."""
Reject#0,"""「$(0)」 $(1)를 파기했습니다."""
Reward#0,"""「$(0)」 $(1)의 보수를 받았습니다."""
RewardMatterOrder#0,"""마타 수색이 완료되었습니다."""
OrderSub#0,"""（$(0) 오더）"""
test_001#0,"""이 오더를 수주하시겠습니까?"""
ErrorSameOrder#0,"""「$(0)」 오더는 이미 수주했습니다."""
ErrorOverflow#0,"""더 이상 오더를 수주할 수 없습니다.<br>다른 오더를 파기하거나 보고한 후<br>다시 수주해 주세요."""
ErrorNotAchievement#0,"""「$(0)」 오더 목표를 달성하지 못했습니다."""
ErrorNotAccept#0,"""「$(0)」 오더를 수주하지 않았습니다."""
ErrorItemFull#0,"""아이템 소지 수 한계를 초과했거나<br>아이템 팩의 여유공간 부족으로 인해 보상을 받지 못했습니다.<br>아이템 팩을 정리해주세요."""
ErrorReward#0,"""「$(0)」 오더의 보수를 받을 수 없습니다."""
ErrorReject#0,"""「$(0)」 오더를 파기할 수 없습니다."""
ErrorOverLimit#0,"""「$(0)」 오더는 수주 기한을 지났습니다."""
OrderClear#0,"""「$(0)」 $(1)를 달성했습니다."""
MatterOrderClear#0,"""마타 보드「$(0)」의 마타「$(1)－$(2) $(3)」 달성했습니다."""
OrderFail#0,"""「$(0)」 $(1)의 목표를 달성하지 못했습니다."""
TargetClear#0,"""$(2)「$(1)」의 목표『$(0)』 달성."""
QuestStart#0,"""「$(0)」 $(1)를 수주했습니다."""
Notes_001#0,"""이 오더는 단 한 번만 달성보고를 할 수 있습니다."""
Notes_002#0,"""이 오더는 $(0)<br>까지 수주할 수 없습니다."""
Notes_003#0,"""이 오더는 여러 번 수주할 수 있습니다."""
Notes_004#0,"""이 오더는 금일 23:59까지 수주가 가능합니다."""
Notes_005#0,"""이 오더는 오늘 클리어한 상태라서<br>수주할 수 없습니다."""
Notes_006#0,"""이 오더는 <utcdow>수요일 2:00</utcdow>까지<br>수주가 가능합니다."""
Notes_007#0,"""이 오더는 수주 가능 기간이 있습니다."""
Notes_008#0,"""입단 직후이기 때문에 $(0)<br>까지 수주할 수 없습니다."""
TargetName_Item#0,"""아이템 조달"""
TargetName_Quest#0,"""퀘스트 클리어"""
TargetName_Errand#0,"""정보 수집"""
TargetName_Weather#0,"""기상 관찰"""
TargetName_PSE#0,"""튜토리얼"""
TargetName_Incident#0,"""E트라이얼 클리어"""
