Title#0,"""砂上遊園アークマランド"""
Explanation#0,"""全アークスに告ぐ。私はアークマである。<br>貴君らが楽しめる訓練を用意した。<br>内容は簡単。定められた時間内に<br>多くの敵を倒しハイスコアを記録せよ。<br>なお道中のエマージェンシートライアルは<br>スコアを稼ぐには欠かせないものである。<br>各員、積極的な挑戦を推奨する。<br>――――――――――――――――――――<br>ルーム内のスコア共有<br>制限時間経過でクエスト終了"""
SimpleExplanation#0,"""¡Derrota a los enemigos para obtener puntos!"""
NpcComMsg1#0,"""参集に感謝する。<br>これより、エネミーの撃破数による<br>スコアアタックに挑戦されたし。"""
NpcComMsg2#0,"""なお、クエストの途中で発生する<br>エマージェンシートライアルには<br>トライアルオーダーを設定している。"""
NpcComMsg3#0,"""達成により「スコア上昇倍率」が向上。<br>高得点が期待されるため、各員積極的に<br>挑戦されたし。以上。"""
Area0S#0,"""Area de Cantera 1"""
Area0L#0,"""Planeta Lillipa: Area de Cantera 1"""
Area1S#0,"""Area de Cantera 2"""
Area1L#0,"""Planeta Lillipa: Area de Cantera 2"""
a1#0,"""Completa cierta orden de cliente"""
a2#0,"""Completa cierta orden de cliente"""
a3#0,"""Poseer una Licencia de Súper Difícil"""
a4#0,"""Poseer una Licencia de Súper Difícil"""
NPC_QUEST_START#0,"""Iniciando mision. ¡Derrota a los enemigos y obten un alto puntaje!"""
NPC_TIME_HALF#0,"""Noticia: Queda poco tiempo. Intenta completar las ordenes emergentes para incrementar los puntos y obtener un alto puntaje."""
NPC_TIME_1MIN#0,"""Noticia: Queda 1 minuto. Sigue trabajando duramente hasta que el tiempo se agote."""
LINE_QUEST_START#0,"""¡Derrota a los enemigos para obtener puntos!"""
LINE_TIME_1MIN#0,"""¡Falta un minuto!"""
