Hypotension#0,"""아침형"""
Night#0,"""야행성"""
Sun#0,"""맑은날 좋아"""
Cloud#0,"""흐린날 좋아"""
EnemyLarge#0,"""큰놈을 노린다"""
EnemySmall#0,"""작은놈을 노린다"""
Pinch#0,"""역경이 좋아"""
Loonie#0,"""슬로우 스타터"""
Lonely#0,"""외로움이 많음"""
DarkerKiller#0,"""다커 먼저"""
NativeKiller#0,"""원생종 먼저"""
MachineKiller#0,"""기갑종 먼저"""
DragonKiller#0,"""용족 먼저"""
ChimeraKiller#0,"""해왕종 먼저"""
Tsundere#0,"""츤데레"""
TitanKiller#0,"""흑의 주민 먼저"""
PhantomKiller#0,"""환창종 먼저"""
BeastKiller#0,"""마물종 먼저"""
CypherKiller#0,"""섬기종 먼저"""
Brave#0,"""용자 기질"""
Poser#0,"""눈에 띄고 싶어함"""
Shy#0,"""소극적인 성격"""
Leader#0,"""리더십"""
Donkey#0,"""덜렁이"""
Senior#0,"""선배 계열"""
Sickly#0,"""병약"""
Daredevil#0,"""죽기살기"""
Innocence#0,"""천진난만"""
Blonde#0,"""천연"""
Intellectual#0,"""지적"""
MsgFriendAdd#0,"""$(0) 파트너가 참가했습니다."""
MsgJoinEnable#0,"""$(0) 파트너를 부를 수 있게 되었습니다."""
MsgJoinDisable#0,"""$(0) 파트너를 소환할 수 없게 되었습니다."""
MsgErrorExsit#0,"""$(0)은 이미 퀘스트 내 다른 플레이어가 소환했습니다."""
MsgErrorNoExsit#0,"""$(0)은 이미 귀환했거나, 다른 플레이어가 소환했습니다."""
MsgErrorFullParty#0,"""파티원 수 상한 때문에 소환할 수 없습니다."""
MsgErrorFullRoom#0,"""퀘스트 참가 인원 상한 때문에 소환할 수 없습니다."""
MsgErrorFullEvent#0,"""인원 상한 때문에 참가할 수 없었습니다."""
MsgErrorSystem#0,"""파트너 등록이 없거나 삭제되어 있어 소환할 수 없었습니다."""
MsgErrorLoadApcList#0,"""파트너 소환에 실패했습니다."""
MsgErrorRegisterFriendApc#0,"""프렌드 파트너 등록에 실패했습니다."""
MsgRegisterFriendApc#0,"""프렌드 파트너 등록이 완료되었습니다."""
MsgDeleteFriendApc#0,"""프렌드 파트너 등록을 삭제했습니다."""
MsgErrorDeleteFriendApc#0,"""프렌드 파트너 등록 삭제에 실패했습니다."""
MsgErrorNotRegisterFriendApc#0,"""프렌드 파트너가 등록되어 있지 않습니다."""
MsgErrorAddNotListed#0,"""파트너 리스트에서 허가하지 않은 파트너 카드 입수를 감지했습니다."""
Healing#0,"""기사회생"""
Valor#0,"""임전태세"""
Guardian#0,"""철저한 방어"""
Meddler#0,"""격앙"""
Savior#0,"""부활 지원"""
FavHuman#0,"""휴먼 좋아"""
FavCast#0,"""캐스트 좋아"""
FavNewman#0,"""뉴먼 좋아"""
FavDewman#0,"""듀먼 좋아"""
FavMale#0,"""남자 좋아"""
FavFemale#0,"""여자 좋아"""
Troublemaker#0,"""컨디션 마스터"""
5001#0,"""곤란할 땐 언제든 불러!<br>선배라는 건 원래 그런 법이니까!"""
5002#0,"""나도 아크스니까<br>언제든 불러도 돼."""
5003#0,"""파트너! 우리 사이잖아.<br>사양 말고 불러 줘!"""
5007#0,"""…이런 저라도<br>당신이 원하신다면<br>기꺼이 협력하겠습니다."""
5008#0,"""저라도 도움이 된다면, 기꺼이!"""
5009#0,"""연구 대상 말고는 흥미 없지만<br>네 권유라면 마다할 수 없지."""
5010#0,"""어, 어어, 어어디 보자……<br>저를 불러도 별수 없을 텐데……"""
5013#0,"""아크스 최고의 정보상<br>파티엔티아의 언니, 파티!<br>부르기만 하면 어디든 간다!"""
5014#0,"""아크스 최고의 정보상<br>파티엔티아의 여동생 티아입니다.<br>언제든 불러 주세요."""
5018#0,"""뭐, 뭐든 적당적당히<br>적당히 힘내 보자고.<br>편하게, 편하게. 응."""
5019#0,"""…언제든 불러.<br>포스의 힘, 보여 줄게."""
5020#0,"""언제든 부르면 돼!<br>헌터의 힘을 보여 주지!"""
5021#0,"""후후후…… 내 힘이 필요하다면<br>언제든 불러도 좋아!<br>나도 한때 전장에서……"""
5022#0,"""오? 오?<br>가는 거야? 나랑 같이 가는 거야?<br>좋지 좋지, 언제든 간다!"""
5026#0,"""적을 죽이고 또 죽이고 또 죽이고 죽일 때는<br>꼭꼭꼭꼭 저를 불러 주세요.<br>약속이에요?"""
