Title#0,"""空中遊園アークマランド"""
Explanation#0,"""全アークスに告ぐ。私はアークマである。<br>貴君らが楽しめる訓練を用意した。<br>内容は簡単。定められた時間内に<br>多くの敵を倒しハイスコアを記録せよ。<br>なお道中のエマージェンシートライアルは<br>スコアを稼ぐには欠かせないものである。<br>各員、積極的な挑戦を推奨する。<br>――――――――――――――――――――<br>ルーム内のスコア共有<br>制限時間経過でクエスト終了"""
SimpleExplanation#0,"""¡Derrota a los enemigos para obtener puntos!"""
NpcComMsg1#0,"""Agradezco su participación. Ahora, Este será un desafío para un ataque conjunto donde se adquieren puntos por cada uno de los enemigos derrotados."""
NpcComMsg2#0,"""Además, hemos configurado unas ordenes emergentes que te pondrán a prueba en situaciones de emergencia los cuales se producirán en medio de esta misión."""
NpcComMsg3#0,"""Al completar estas ordenes 「Se incrementara un multiplicador de puntos」.<br>Debido a que esperamos puntajes muy altos, las ordenes cada vez serán mas difíciles"""
Area0S#0,"""浮遊大陸エリア1"""
Area0L#0,"""Planeta Amduscia: Skyscape Area 1"""
Area1S#0,"""浮遊大陸エリア2"""
Area1L#0,"""Planeta Amduscia: Skyscape Area 2"""
a1#0,"""Completa cierta orden de cliente"""
a2#0,"""Completa cierta orden de cliente"""
a3#0,"""Poseer una Licencia de Súper Difícil"""
a4#0,"""Poseer una Licencia de Súper Difícil"""
NPC_QUEST_START#0,"""Iniciando mision. ¡Derrota a los enemigos y obtén un alto puntaje!"""
NPC_TIME_HALF#0,"""Noticia: Queda poco tiempo. Intenta completar las ordenes emergentes para incrementar los puntos y obtener un alto puntaje."""
NPC_TIME_1MIN#0,"""Noticia: Queda 1 minuto. Sigue trabajando duramente hasta que el tiempo se agote."""
LINE_QUEST_START#0,"""¡Derrota a los enemigos para obtener puntos!"""
LINE_TIME_1MIN#0,"""¡Falta un minuto!"""
