AiPartner_DefaultName#0,"""MAI001"""
AiPartner_OutOfService#0,"""현재 응답할 수 없는 상태입니다."""
AiPartner_ResponseTimeout#0,"""현재 응답할 수 없는 상태입니다."""
AiPartner_ResponseWait#0,"""현재 응답 대기 상태입니다. 잠시 기다려 주십시오."""
AiPartner_EnableArea#0,"""안전을 위해 대화 프로세스는 시티나<br>크리에이티브 스페이스 등의 비전투 구역에서만 실행할 수 있습니다."""
AiPartner_RateLimit#0,"""현재 대화 횟수 상한에 도달했습니다. (대기 시간 $(0)분)"""
Timeband_BeforeDawn#0,"""새벽녘"""
Timeband_EarlyMorning#0,"""이른 아침"""
Timeband_Morning#0,"""아침"""
Timeband_BeforeNoon#0,"""오전"""
Timeband_Afternoon#0,"""오후"""
Timeband_Night#0,"""밤"""
Weather_Bad#0,"""악천후"""
Weather_Fine#0,"""맑음"""
Weather_Rain#0,"""비"""
Weather_Thunder#0,"""뇌우"""
Weather_Storm#0,"""폭풍"""
Weather_Snow#0,"""눈"""
Weather_Cloudy#0,"""흐림"""
Weather_Heat#0,"""혹서"""
Weather_Dust#0,"""모래 폭풍"""
Weather_Meteor#0,"""유성"""
Weather_Aurora#0,"""오로라"""
Weather_Makai#0,"""마계"""
