Begin#0,"""Iniciar 5150"""
Success#0,"""Exito 5150"""
Failure#0,"""Fallo 5150"""
Dead#0,"""Suicidio 5150"""
BuddyDead#0,"""Fallecio 5150"""
Evolution#0,"""Evoluciona 5150"""
Begin#1,"""/ci1 2 Señor Nox Kadina...<br>Hasle caso al lider.<br>Lider, Dame instrucciones"""
Success#1,"""/ci2 2 Muchas gracias por tu colaboración,<br>regresaremos a nuestras labores<br>Vamos señor Nox Kadina"""
Failure#1,"""Hmm...<br>Para garantizar el exito de la misión<br>nos retiraremos por ahora"""
Dead#1,"""No puedo hacerlo, lo siento..."""
BuddyDead#1,"""¡Um!<br>¡No luche lo suficiente por nuestros compañeros!"""
