name01#0,"""Сиерра"""
text01#0,"""Помимо как от обычных атак по врагам, Gear накапливается, <red>даже если просто двигаться, или использовать Just Guard<c>. Давайте попробуем!"""
text101#0,"""2-я задача: <yellow>Полностью накопите Gear<c>"""
train_title#0,"""2-я задача: <yellow>Полностью накопить Gear<c>"""
tut_title#0,"""Gear ванда этуаля"""
text100#0,"""・Атакуйте и накапливайте Gear<br>・Держите в руках ванд,<br>и накапливайте Gear"""
tut_win_title#0,"""Gear ванда этуаля"""
tut_win_text100#0,"""Gear ванда станет доступен с изучением умения этуаля<br>\""Etoile Wand Gear\"".<br><br>Выполняя следующие действия можно накапливать Gear:<br><yellow>・Атакуя врагов<br>・Двигаясь в бою<br>・Just Guard'ом<c><br><br>Шкала Gear может расходоваться на поддержание<br>защиты, а также для огромного потребления энергии<br>с последующей активацией \""Protect Release\""."""
tut_win_text101#0,"""Protect Release<br><yellow>・Активируйте Charge Protect и удерживайте кнопку,<c><br>пока не израсходуете достаточно шкалы Gear, затем<br>отпустите кнопку, чтобы совершить мощную<br>с огромным радиусом охвата атаку.<br><br>В случае выполнения Protect Release при зажатой<br>клавише движения, вы будете быстро перемещаться<br>перед использованием.<br><br>※Мощность Protect Release может быть увеличена<br>за счёт использования ещё большего объёма<br>шкалы Gear перед непосредственной активацией."""
tut_vita_text100#0,"""スキル「エトワールウォンドギア」を<br>習得することで専用のギアが追加されます。<br><br>ギアゲージは以下の行動で<br>増加させることができます。<br><yellow>・エネミーへの攻撃<br>・戦闘中の移動<br>・ジャストガード<c><br><br>ギアゲージはガードの維持で消費し<br>一定以上消費することで<br>強力な攻撃「プロテクトリリース」を<br>発動します。"""
tut_vita_text101#0,"""「プロテクトリリース」<br><yellow>・武器アクション「チャージプロテクト」を<br> 発動し続け、ギアゲージを一定以上<br> 消費した後、武器アクションボタンを離す<c><br>自分の周囲へ強力な範囲攻撃を行います。<br>移動入力を行いながら<br>プロテクトリリースすることで<br>攻撃前に高速移動することができます。<br><br>※消費したギアゲージに応じて<br>   プロテクトリリースの性能を<br>   強化することが可能です。"""
