name01#0,"""Сиерра"""
11_voice_train_04006#0,"""Просто замечательно!<br>А теперь мы попробуем выполнить Skip PA."""
text02#0,"""Skip PA <red>в момент использования защитит от атак противника<c>!<br>Постарайтесь запомнить это!"""
text03#0,"""Кроме того, с помощью Skip PA <red>упростит попадание по врагам<c> даже теми Фотон Артами, которыми обычно трудно попасть!"""
text04#0,"""Следующим на очереди у нас идёт <red>Quick Take<c>. После его изучения вы сможете мнгновенно сократить дистанцию до врага!"""
text05#0,"""Лучше один раз попробовать! Согласно руководству <red>активируйте его обычной атакой либо действием оружия<c>!"""
text101#0,"""3-я задача: <yellow>Ударьте врага с помощью Quick Take атаки<c>"""
train_title#0,"""3-я задача: <yellow>Ударить врага с помощью Quick Take атаки<c>"""
tut_title#0,"""クイックテイクについて"""
text100#0,"""・Фотон Арт <%PhotonArts><br>・Обычная атака <%NormalAttack><br>либо действие оружия <%WeaponAction><br>согласно руководству"""
text100_3b#0,"""・Фотон Арт <%PhotonArts><br>・Обычная атака <%NormalAttack><br>либо действие оружия <%MainPaletteC><br>согласно руководству"""
