name01#0,"""Сиерра"""
11_voice_train_04001#0,"""Привет!<br>Сейчас мы с вами приступим<br>к тренировке по основам<br>ванда!"""
text02#0,"""Этуаль - <red>класс-преемник защиты<br>и поддержки в дополнение<br>к атакам ближнего боя<c>."""
text03#0,"""Этот класс использует<br>три оружия: <red>двойную глефу,<br>парные клинки и ванд<c>."""
text04#0,"""В этой части мы с вами освоим<br>боевые приёмы этуаля<br>с вандом.<br>Итак, приступим!"""
text05#0,"""С вандом можно всегда двигаться плавно <red>даже во время атаки<c>, так что вы можете выполнять плавные атаки!"""
text06#0,"""Попробуйте использовать во время движения Фотон Арт <red>\""Black Hole Rupture\""<c>!<br>Оно также способно стягивать врагов спереди в одну точку!"""
text101#0,"""1-я задача: <yellow>Используйте Фотон Арт против врага<c>"""
train_title#0,"""1-я задача: <yellow>Использовать Фотон Арт против врага<c>"""
tut_title#0,"""Фотон Арты"""
text100#0,"""・Фотон Арт <%WeaponAction> и <%PhotonArts>"""
text100_3b#0,"""・Фотон Арт <%PhotonArts>"""
tut_win_title#0,"""Действие оружия ванда этуаля"""
tut_win_text100#0,"""Ванд этуаля способен выпускать мощную атаку<br>называемую \""Focus\"".<br>Используя во время действия Фотон Арта<br>действие оружия, вы сможете сжать сферу<br>создав временную наносящую урон сферу.<br>Используйте обычную версию Фотон Арта \""Focus\"",<br>и используйте усиленную в зависимости от ситуации."""
tut_win_text101#0,"""Ванд этуаля с помощью действия оружия может<br>активировать \""Charge Protection\"".<br>С ним вы сможете свободно перемещаться<br>и блокировать атаки врагов.<br><br>Кроме того, если вы изучили \""Etoile Wand Gear\"",<br>то сможете расходовать Gear для постоянной защиты."""
