name01#0,"""シエラ"""
11_voice_train_04001#0,"""こんにちは！<br>これから「ダブルセイバーの基礎」に<br>ついて訓練します！"""
text01#0,"""エトワールは<red>近接攻撃<c>にくわえて<br><red>強力な防御手段<c>と<red>支援スキル<c>を持つ<br>後継クラスです。"""
text02#0,"""武器は<red>ダブルセイバー<c>と<br><red>デュアルブレード<c>、<red>ウォンド<c>の<br>３つを使って戦います。"""
text03#0,"""今回は、ダブルセイバーを使った<br>エトワールの戦い方を学びます。<br>では、さっそく始めましょう！"""
text04#0,"""エトワールのダブルセイバーは<br><red>高い機動力を持ち<br>空中での戦闘<c>が得意です。"""
text05#0,"""まずはダブルセイバーギアです。<br>エネミーを攻撃するとたまります。<br>実際にギアをためてみましょう！"""
text101#0,"""課題１：<yellow>エネミーを攻撃してギアをためる<c>"""
train_title#0,"""課題１：<yellow>エネミーを攻撃してギアをためる<c>"""
tut_title#0,"""エトワールダブルセイバーギアについて"""
text100#0,"""・攻撃をヒットさせてギアをためる"""
tut_win_title#0,"""『エトワールダブルセイバーギア』について"""
tut_win_text100#0,"""スキル「エトワールダブルセイバーギア」を<br>習得することで専用のギアが追加されます。<br><br>ギアゲージはエネミーを攻撃することで増加し<br>ダメージを受けたとき、ギアゲージを<br>自動的に消費しダメージを軽減します。<br><br>積極的な攻撃が、防御の強化へ繋がるため<br>堅実に戦うことができるでしょう。"""
tut_win_text101#0,"""また、ギアゲージを消費して<br>強力な攻撃「エンハンスアタック」を<br>発動させることもできます。<br><br>ギアを攻撃と防御のどちらに使うか<br>戦況に合わせて使い分けましょう。<br><br>「エンハンスアタック」<br><yellow>・通常攻撃ボタンを長押し<c><br>ギアゲージを１つ消費して<br>強力な攻撃を繰り出します。<br><br><red>※ギアゲージがたまっていない状態で<br>発動した場合、威力が減少します。<c>"""
tut_vita_text100#0,"""スキル「エトワールダブルセイバーギア」を<br>習得することで専用のギアが追加されます。<br><br>ギアゲージはエネミーを攻撃することで増加し<br>ダメージを受けたとき、ギアゲージを<br>自動的に消費しダメージを軽減します。<br><br>積極的な攻撃が、防御の強化へ繋がるため<br>堅実に戦うことができるでしょう。"""
tut_vita_text101#0,"""また、ギアゲージを消費して<br>強力な攻撃「エンハンスアタック」を<br>発動させることもできます。<br><br>ギアを攻撃と防御のどちらに使うか<br>戦況に合わせて使い分けましょう。<br><br>「エンハンスアタック」<br><yellow>・通常攻撃ボタンを長押し<c><br>ギアゲージを１つ消費して<br>強力な攻撃を繰り出します。<br><br><red>※ギアゲージがたまっていない状態で<br>発動した場合、威力が減少します。<c>"""
